path,size_bytes,role
FE_Results_Cases_All/FE_Results_Case_54.txt,33917913,original_fem_data
FE_Results_Cases_All/FE_Results_Case_55.txt,33926802,original_fem_data
FE_Results_Cases_All/FE_Results_Case_56.txt,33914943,original_fem_data
FE_Results_Cases_All/FE_Results_Case_57.txt,33920461,original_fem_data
FE_Results_Cases_All/FE_Results_Case_58.txt,33904886,original_fem_data
FE_Results_Cases_All/FE_Results_Case_59.txt,33918134,original_fem_data
FE_Results_Cases_All/FE_Results_Case_6.txt,33924502,original_fem_data
FE_Results_Cases_All/FE_Results_Case_60.txt,33922875,original_fem_data
FE_Results_Cases_All/FE_Results_Case_61.txt,33919973,original_fem_data
FE_Results_Cases_All/FE_Results_Case_62.txt,33903148,original_fem_data
FE_Results_Cases_All/FE_Results_Case_63.txt,33913103,original_fem_data
FE_Results_Cases_All/FE_Results_Case_64.txt,33907851,original_fem_data
FE_Results_Cases_All/FE_Results_Case_65.txt,33909203,original_fem_data
FE_Results_Cases_All/FE_Results_Case_66.txt,33919435,original_fem_data
FE_Results_Cases_All/FE_Results_Case_67.txt,33919403,original_fem_data
FE_Results_Cases_All/FE_Results_Case_68.txt,33919812,original_fem_data
FE_Results_Cases_All/FE_Results_Case_69.txt,33920312,original_fem_data
FE_Results_Cases_All/FE_Results_Case_7.txt,33925562,original_fem_data
FE_Results_Cases_All/FE_Results_Case_70.txt,33909315,original_fem_data
FE_Results_Cases_All/FE_Results_Case_71.txt,33910434,original_fem_data
FE_Results_Cases_All/FE_Results_Case_72.txt,33903830,original_fem_data
FE_Results_Cases_All/FE_Results_Case_73.txt,33919317,original_fem_data
FE_Results_Cases_All/FE_Results_Case_74.txt,33916049,original_fem_data
FE_Results_Cases_All/FE_Results_Case_75.txt,33921045,original_fem_data
FE_Results_Cases_All/FE_Results_Case_76.txt,33906132,original_fem_data
FE_Results_Cases_All/FE_Results_Case_77.txt,33908822,original_fem_data
FE_Results_Cases_All/FE_Results_Case_78.txt,33905267,original_fem_data
FE_Results_Cases_All/FE_Results_Case_79.txt,33922952,original_fem_data
FE_Results_Cases_All/FE_Results_Case_8.txt,33924386,original_fem_data
FE_Results_Cases_All/FE_Results_Case_80.txt,33900721,original_fem_data
FE_Results_Cases_All/FE_Results_Case_81.txt,33926100,original_fem_data
FE_Results_Cases_All/FE_Results_Case_82.txt,33920066,original_fem_data
FE_Results_Cases_All/FE_Results_Case_83.txt,33924872,original_fem_data
FE_Results_Cases_All/FE_Results_Case_84.txt,33923377,original_fem_data
FE_Results_Cases_All/FE_Results_Case_85.txt,33922156,original_fem_data
FE_Results_Cases_All/FE_Results_Case_86.txt,33909238,original_fem_data
FE_Results_Cases_All/FE_Results_Case_87.txt,33929442,original_fem_data
FE_Results_Cases_All/FE_Results_Case_88.txt,33926849,original_fem_data
FE_Results_Cases_All/FE_Results_Case_89.txt,33918696,original_fem_data
FE_Results_Cases_All/FE_Results_Case_9.txt,33924996,original_fem_data
FE_Results_Cases_All/FE_Results_Case_90.txt,33913038,original_fem_data
FE_Results_Cases_All/FE_Results_Case_91.txt,33933798,original_fem_data
FE_Results_Cases_All/FE_Results_Case_92.txt,33914322,original_fem_data
FE_Results_Cases_All/FE_Results_Case_93.txt,33917595,original_fem_data
FE_Results_Cases_All/FE_Results_Case_94.txt,33909266,original_fem_data
