case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,residual_rmse_before_correction
case_56,p90_to_p95,500,0.1,0.09999999999999999,7.545088195800784,9.012357282638549,12.885962295532151,0.9363055109566104
case_56,p95_to_p99,1000,0.2,0.2,7.545088195800784,9.012357282638549,12.885962295532151,0.9363055109566104
case_56,top_p99,1000,0.2,0.2,7.545088195800784,9.012357282638549,12.885962295532151,0.9363055109566104
case_58,below_p90,2500,0.5,0.5,5.742211008071901,6.500666666030883,10.108694267272929,1.09592918489507
case_58,p90_to_p95,500,0.1,0.09999999999999999,5.742211008071901,6.500666666030883,10.108694267272929,1.09592918489507
case_58,p95_to_p99,1000,0.2,0.2,5.742211008071901,6.500666666030883,10.108694267272929,1.09592918489507
case_58,top_p99,1000,0.2,0.2,5.742211008071901,6.500666666030883,10.108694267272929,1.09592918489507
case_59,below_p90,2500,0.5,0.5,8.079314613342287,9.45020728111267,14.667274990081749,1.119131130832702
case_59,p90_to_p95,500,0.1,0.09999999999999999,8.079314613342287,9.45020728111267,14.667274990081749,1.119131130832702
case_59,p95_to_p99,1000,0.2,0.2,8.079314613342287,9.45020728111267,14.667274990081749,1.119131130832702
case_59,top_p99,1000,0.2,0.2,8.079314613342287,9.45020728111267,14.667274990081749,1.119131130832702
case_61,below_p90,2500,0.5,0.5,8.40147466659546,9.68325624465942,15.157886562347406,1.1830247328609595
case_61,p90_to_p95,500,0.1,0.09999999999999999,8.40147466659546,9.68325624465942,15.157886562347406,1.1830247328609595
case_61,p95_to_p99,1000,0.2,0.2,8.40147466659546,9.68325624465942,15.157886562347406,1.1830247328609595
case_61,top_p99,1000,0.2,0.2,8.40147466659546,9.68325624465942,15.157886562347406,1.1830247328609595
case_63,below_p90,2500,0.5,0.5,6.312755584716802,8.285945415496824,13.304288787841797,0.906437113236439
case_63,p90_to_p95,500,0.1,0.09999999999999999,6.312755584716802,8.285945415496824,13.304288787841797,0.906437113236439
case_63,p95_to_p99,1000,0.2,0.2,6.312755584716802,8.285945415496824,13.304288787841797,0.906437113236439
case_63,top_p99,1000,0.2,0.2,6.312755584716802,8.285945415496824,13.304288787841797,0.906437113236439
case_64,below_p90,2500,0.5,0.5,5.991517400741579,6.892904663085936,10.860165023803638,1.1324429734736299
case_64,p90_to_p95,500,0.1,0.09999999999999999,5.991517400741579,6.892904663085936,10.860165023803638,1.1324429734736299
case_64,p95_to_p99,1000,0.2,0.2,5.991517400741579,6.892904663085936,10.860165023803638,1.1324429734736299
case_64,top_p99,1000,0.2,0.2,5.991517400741579,6.892904663085936,10.860165023803638,1.1324429734736299
case_67,below_p90,2500,0.5,0.5,8.129978370666503,9.483993959426876,15.007321405410755,1.2164911163647958
case_67,p90_to_p95,500,0.1,0.09999999999999999,8.129978370666503,9.483993959426876,15.007321405410755,1.2164911163647958
case_67,p95_to_p99,1000,0.2,0.2,8.129978370666503,9.483993959426876,15.007321405410755,1.2164911163647958
case_67,top_p99,1000,0.2,0.2,8.129978370666503,9.483993959426876,15.007321405410755,1.2164911163647958
case_68,below_p90,2500,0.5,0.5,7.673165082931521,9.673214769363403,14.204864883422841,0.841424176979626
case_68,p90_to_p95,500,0.1,0.09999999999999999,7.673165082931521,9.673214769363403,14.204864883422841,0.841424176979626
case_68,p95_to_p99,1000,0.2,0.2,7.673165082931521,9.673214769363403,14.204864883422841,0.841424176979626
case_68,top_p99,1000,0.2,0.2,7.673165082931521,9.673214769363403,14.204864883422841,0.841424176979626
case_69,below_p90,2500,0.5,0.5,8.143990993499758,9.673070669174193,15.407477064132683,1.1399711343302914
case_69,p90_to_p95,500,0.1,0.09999999999999999,8.143990993499758,9.673070669174193,15.407477064132683,1.1399711343302914
case_69,p95_to_p99,1000,0.2,0.2,8.143990993499758,9.673070669174193,15.407477064132683,1.1399711343302914
case_69,top_p99,1000,0.2,0.2,8.143990993499758,9.673070669174193,15.407477064132683,1.1399711343302914
case_72,below_p90,2500,0.5,0.5,4.210915660858155,4.794327330589294,7.4184241771698,1.1226327039029913
case_72,p90_to_p95,500,0.1,0.09999999999999999,4.210915660858155,4.794327330589294,7.4184241771698,1.1226327039029913
case_72,p95_to_p99,1000,0.2,0.2,4.210915660858155,4.794327330589294,7.4184241771698,1.1226327039029913
case_72,top_p99,1000,0.2,0.2,4.210915660858155,4.794327330589294,7.4184241771698,1.1226327039029913
case_73,below_p90,2500,0.5,0.5,5.935178899765017,8.22641882896423,14.632464952468844,0.9614919033456621
case_73,p90_to_p95,500,0.1,0.09999999999999999,5.935178899765017,8.22641882896423,14.632464952468844,0.9614919033456621
case_73,p95_to_p99,1000,0.2,0.2,5.935178899765017,8.22641882896423,14.632464952468844,0.9614919033456621
case_73,top_p99,1000,0.2,0.2,5.935178899765017,8.22641882896423,14.632464952468844,0.9614919033456621
case_74,below_p90,2500,0.5,0.5,7.925480604171754,9.183551406860351,13.751770725250228,1.0208605647630205
case_74,p90_to_p95,500,0.1,0.09999999999999999,7.925480604171754,9.183551406860351,13.751770725250228,1.0208605647630205
case_74,p95_to_p99,1000,0.2,0.2,7.925480604171754,9.183551406860351,13.751770725250228,1.0208605647630205
case_74,top_p99,1000,0.2,0.2,7.925480604171754,9.183551406860351,13.751770725250228,1.0208605647630205
case_75,below_p90,2500,0.5,0.5,8.108385753631593,9.665987253189082,15.416833810806175,1.1975660774337828
case_75,p90_to_p95,500,0.1,0.09999999999999999,8.108385753631593,9.665987253189082,15.416833810806175,1.1975660774337828
case_75,p95_to_p99,1000,0.2,0.2,8.108385753631593,9.665987253189082,15.416833810806175,1.1975660774337828
case_75,top_p99,1000,0.2,0.2,8.108385753631593,9.665987253189082,15.416833810806175,1.1975660774337828
case_77,below_p90,2500,0.5,0.5,6.230674314498903,7.30365433692932,11.748572282791129,1.132765504368538
case_77,p90_to_p95,500,0.1,0.09999999999999999,6.230674314498903,7.30365433692932,11.748572282791129,1.132765504368538
case_77,p95_to_p99,1000,0.2,0.2,6.230674314498903,7.30365433692932,11.748572282791129,1.132765504368538
case_77,top_p99,1000,0.2,0.2,6.230674314498903,7.30365433692932,11.748572282791129,1.132765504368538
case_78,below_p90,2500,0.5,0.5,4.941975545883179,5.647890686988831,8.848848810195921,1.1678555872597505
case_78,p90_to_p95,500,0.1,0.09999999999999999,4.941975545883179,5.647890686988831,8.848848810195921,1.1678555872597505
case_78,p95_to_p99,1000,0.2,0.2,4.941975545883179,5.647890686988831,8.848848810195921,1.1678555872597505
case_78,top_p99,1000,0.2,0.2,4.941975545883179,5.647890686988831,8.848848810195921,1.1678555872597505
case_79,below_p90,2500,0.5,0.5,8.438597679138184,10.056427860260005,15.850202865600538,1.1397631655714462
case_79,p90_to_p95,500,0.1,0.09999999999999999,8.438597679138184,10.056427860260005,15.850202865600538,1.1397631655714462
case_79,p95_to_p99,1000,0.2,0.2,8.438597679138184,10.056427860260005,15.850202865600538,1.1397631655714462
case_79,top_p99,1000,0.2,0.2,8.438597679138184,10.056427860260005,15.850202865600538,1.1397631655714462
case_84,below_p90,2500,0.5,0.5,8.520696544647219,10.052421236038205,16.077098846435536,1.1480021470724908
case_84,p90_to_p95,500,0.1,0.09999999999999999,8.520696544647219,10.052421236038205,16.077098846435536,1.1480021470724908
case_84,p95_to_p99,1000,0.2,0.2,8.520696544647219,10.052421236038205,16.077098846435536,1.1480021470724908
case_84,top_p99,1000,0.2,0.2,8.520696544647219,10.052421236038205,16.077098846435536,1.1480021470724908
case_85,below_p90,2500,0.5,0.5,8.277219963073733,9.90499882698059,15.767036905288688,1.1459751898882393
case_85,p90_to_p95,500,0.1,0.09999999999999999,8.277219963073733,9.90499882698059,15.767036905288688,1.1459751898882393
case_85,p95_to_p99,1000,0.2,0.2,8.277219963073733,9.90499882698059,15.767036905288688,1.1459751898882393
case_85,top_p99,1000,0.2,0.2,8.277219963073733,9.90499882698059,15.767036905288688,1.1459751898882393
