case_id,weighted_numerator,weighted_denominator,unconstrained_case_gain,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max
case_59,377867.4118567194,220280.85151726677,1.7153892826090704,8.079314613342287,9.45020728111267,14.667274990081749,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_60,452046.0906268378,273151.67749284976,1.6549270162862937,8.39782257080078,9.96433162689209,15.850470104217512,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_61,425876.7935220098,193483.4048332851,2.2011024350587913,8.40147466659546,9.68325624465942,15.157886562347406,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_62,60440.91084255121,72927.35803811783,0.8287824003025013,3.834617543220521,4.507473468780517,6.4952899599075264,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_63,93735.91983480351,166029.44724040417,0.5645740643771315,6.312755584716802,8.285945415496824,13.304288787841797,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_64,206437.02693702196,115520.53499473725,1.7870158491425494,5.991517400741579,6.892904663085936,10.860165023803638,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_66,36247.22074587153,290199.5749610368,0.12490445842568242,6.3177044868469245,8.640856552124024,14.484742507934437,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_67,410921.72577362263,214731.54128928162,1.9136533147686854,8.129978370666503,9.483993959426876,15.007321405410755,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_68,211877.33394147255,242780.37136667946,0.8727119608094964,7.673165082931521,9.673214769363403,14.204864883422841,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_69,451437.0583352806,203547.69685101463,2.2178440990452817,8.143990993499758,9.673070669174193,15.407477064132683,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_71,254440.36082294924,155294.5671471317,1.6384369749515013,6.812291240692138,7.7705615758895865,12.114842939376807,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_72,73544.62360544458,74113.34530345858,0.9923263253644082,4.210915660858155,4.794327330589294,7.4184241771698,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_73,-27814.85602723258,252058.12334070986,-0.11035096055854911,5.935178899765017,8.22641882896423,14.632464952468844,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_74,324559.8334617428,233095.97477384706,1.3923871219854191,7.925480604171754,9.183551406860351,13.751770725250228,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_75,449750.7670186452,236283.9091541915,1.9034337489530524,8.108385753631593,9.665987253189082,15.416833810806175,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
case_77,270654.77727745613,126333.64918390276,2.142380743577401,6.230674314498903,7.30365433692932,11.748572282791129,1.240003996403237,1.0,0.8064490137939926,6.451592110351941
