fluence_rate_mean,fluence_rate_p95,temperature_mean,temperature_p95,weight_loss_rate_mean,weight_loss_rate_std,case_id,estimated_v10_mean_residual_mpa
3.434945821762085,4.355371952056885,389.47900390625,428.7915649414063,0.4121075272560119,0.0529544055461883,case_75,-0.38736899608451036
3.3737595081329346,4.057146072387695,382.7502746582031,424.6549377441406,0.357508510351181,0.0517014302313327,case_77,-0.38845003652989796
3.473510503768921,4.394714832305908,362.4739379882813,375.292724609375,0.3519338071346283,0.0626445561647415,case_78,-0.6039053121232052
3.430354595184326,4.354800224304199,389.55474853515625,427.9959411621094,0.3595194816589355,0.05570088326931,case_79,-0.37470114445511005
3.4711034297943115,4.370614051818848,427.3624877929688,443.0621643066406,0.3936992585659027,0.0506984405219554,case_81,-0.5620568262094654
3.4522545337677,4.387165069580078,383.1573181152344,424.2245788574219,0.3968290388584137,0.0505726896226406,case_82,-0.6112391019603942
3.4547364711761475,4.374969005584717,386.7286682128906,426.0284423828125,0.3536431193351745,0.0563716106116771,case_83,-0.5096393178646972
3.4487290382385254,4.3586931228637695,390.2251892089844,431.4751586914063,0.360487163066864,0.0526352971792221,case_84,-0.481018520904847
3.4244441986083984,4.3561110496521,382.4470825195313,426.2056274414063,0.3595130443572998,0.0562217868864536,case_85,-0.4031827760117892
3.3035128116607666,4.07803201675415,385.3857116699219,425.63128662109375,0.3429905772209167,0.0352904871106147,case_86,-0.3080093643746613
4.078866958618164,4.678973197937012,434.91937255859375,446.29388427734375,0.3624218702316284,0.0561986789107322,case_87,-0.8202199174250397
3.8019614219665527,4.541163921356201,383.197509765625,423.9712829589844,0.328755110502243,0.0461499169468879,case_89,-0.7085238433184209
3.455228328704834,4.390332221984863,433.0641174316406,445.1156921386719,0.3450756967067718,0.0467129945755004,case_91,-0.4475682362748614
3.3151376247406006,4.09653377532959,440.694091796875,448.29205322265625,0.3573110401630401,0.0518410392105579,case_92,-0.12631120572453103
3.417858839035034,4.322260856628418,386.1116943359375,427.1571960449219,0.3820260167121887,0.0465712547302246,case_93,-0.40944851296712415
3.345393419265747,4.140851020812988,382.6231994628906,424.648193359375,0.2921536862850189,0.0267762038856744,case_94,-0.6546909106131027
4.116982936859131,4.701513767242432,441.1065368652344,448.7469177246094,0.3583834171295166,0.0516914539039135,case_95,-1.018404245339494
3.607393741607666,4.233084201812744,386.0886535644531,428.4657897949219,0.3271991014480591,0.0433760397136211,case_96,-1.20851218670217
3.3956286907196045,4.331124782562256,385.0579528808594,424.7047424316406,0.3635185360908508,0.0565620250999927,case_97,-0.2311045689837563
3.4002556800842285,4.341915130615234,426.91705322265625,443.4223937988281,0.3600414395332336,0.0555852316319942,case_98,-0.10537062343085601
3.2034356594085693,3.818567991256714,388.10498046875,426.9716491699219,0.363998681306839,0.0566882155835628,case_99,-0.059240749607263776
3.41831111907959,4.338582992553711,385.9527282714844,427.4082336425781,0.3578886091709137,0.051088523119688,case_100,-0.4290061338894873
3.457998514175415,4.40238094329834,386.0186767578125,427.7275695800781,0.3552675247192383,0.0565304681658744,case_101,-0.5725357969122458
4.375712871551514,4.843551158905029,388.4079895019531,427.1072692871094,0.599214494228363,0.0443295650184154,case_102,-0.755969721885954
3.433887243270874,4.365649223327637,383.3001403808594,424.0548095703125,0.3800892531871795,0.0490060336887836,case_104,-0.41443371305036525
3.423628330230713,4.3506760597229,368.3004760742188,401.8359680175781,0.4157237112522125,0.0498297587037086,case_105,-0.5867677835753327
3.4595956802368164,4.398697853088379,357.8890991210937,377.22314453125,0.5974948406219482,0.0442048758268356,case_106,-0.3593291156485021
3.4598100185394287,4.412162780761719,389.0294799804688,426.8721008300781,0.3604606389999389,0.0561833307147026,case_107,-0.5132656363641281
3.416611194610596,4.3369622230529785,382.6580505371094,424.52972412109375,0.4566439390182495,0.0477630235254764,case_109,-0.5042852806332077
3.424643993377685,4.347803115844727,367.248046875,399.21881103515625,0.4327633380889892,0.0491685718297958,case_110,-0.615684308084623
4.829971790313721,5.104234218597412,365.8954162597656,395.9998779296875,0.5879989862442017,0.0437046326696872,case_111,0.011215764581528065
3.4229555130004883,4.345383167266846,364.3996276855469,391.62255859375,0.3577557802200317,0.0557358153164386,case_114,-0.5498658050984835
