case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_130,-0.38513866206189107,-0.5222066084420265,-0.13706794638013542
case_133,-0.469774593094999,-0.4479932507578573,0.02178134233714174
case_136,-0.4329688249624275,-0.4487421261679407,-0.01577330120551318
case_137,-0.47154880508476094,-0.383119749372179,0.08842905571258192
case_139,-0.3079274329240995,-0.4511620569307025,-0.14323462400660297
case_141,-0.6127353421031394,-0.5006447419746236,0.1120906001285158
case_142,-0.5056074581240786,-0.47783517671542625,0.027772281408652344
case_143,-0.34715226261176735,-0.46098704007183594,-0.11383477746006859
case_144,-0.48709914444712954,-0.551588368411535,-0.06448922396440548
case_145,-0.7737997791033076,-0.5354109673097562,0.23838881179355131
case_146,-0.5841564056908375,-0.4535738992089125,0.130582506481925
case_147,-0.38135263323780055,-0.4396537371676928,-0.05830110392989224
case_148,-0.18461068006330716,-0.47399019621280486,-0.2893795161494977
case_150,-0.22886277658616505,-0.48292647913155046,-0.2540637025453854
case_151,-0.46121636185842574,-0.45931061897121667,0.001905742887209072
case_153,-0.430514721960356,-0.48983913966809706,-0.05932441770774105
case_154,-0.30055304197944954,-0.4807182282111517,-0.18016518623170213
case_155,-0.43018017735248204,-0.4598037107369009,-0.029623533384418865
case_156,-0.21754132634635148,-0.450523462250965,-0.23298213590461353
case_157,-0.3821123466721277,-0.4309572700295254,-0.04884492335739771
case_158,-0.2015762880351648,-0.4980389901160796,-0.2964627020809148
case_159,-0.2660072686593118,-0.4766047310150157,-0.21059746235570392
case_163,-0.5742806204598319,-0.558030463270297,0.01625015718953482
case_164,-0.3685590610920233,-0.4257035922728725,-0.05714453118084922
case_165,0.25973349449651684,-0.5432817202791069,-0.8030152147756238
case_166,-0.2458802008214951,-0.4670939518947233,-0.22121375107322822
case_169,-0.1686428619704472,-0.4778788156965417,-0.3092359537260945
case_170,-0.6243644930972754,-0.4963037792542467,0.1280607138430287
case_171,-0.029273262347452977,-0.4565873944248194,-0.4273141320773664
case_173,-0.45237499115362256,-0.6280003014877309,-0.17562531033410833
case_175,-0.3209463590262933,-0.40105210503481686,-0.08010574600852355
case_176,-0.48236984837832253,-0.5019913645953096,-0.019621516216987045
case_179,-0.38459062939592936,-0.42858376984626384,-0.04399314045033448
case_180,-0.3965484971747921,-0.4765845814274508,-0.08003608425265868
case_181,-0.1749984483508733,-0.47531680607008514,-0.30031835771921184
case_182,-0.5335764685667117,-0.5074593484644321,0.026117120102279623
case_183,-0.30094910091432236,-0.40431965807823184,-0.10337055716390947
case_184,-0.2594645489579097,-0.4547111652993617,-0.19524661634145196
case_185,-0.6552660853493126,-0.49828603880801087,0.15698004654130177
case_186,-0.6110248032405012,-0.4648157325818481,0.14620907065865313
case_187,-0.20671341194113513,-0.4538037215293497,-0.2470903095882146
case_188,-0.5019127468085012,-0.4166133076883632,0.08529943912013799
case_189,-0.2149355106354358,-0.43572474318702265,-0.22078923255158683
case_190,-0.2738089809667441,-0.4230902114363077,-0.1492812304695636
case_191,-0.29689432884108147,-0.458390932006334,-0.16149660316525255
case_192,-0.32931250579728566,-0.4568399463148705,-0.12752744051758486
case_193,-0.4233054645585428,-0.4607344433625154,-0.03742897880397261
case_194,-0.49567346495971876,-0.45866577969008665,0.03700768526963211
case_195,-0.1953954189774878,-0.4744270076948643,-0.2790315887173765
case_196,-0.36351964049808494,-0.4324645519278301,-0.06894491142974518
case_197,-0.3908793913949866,-0.40873782695308375,-0.01785843555809713
case_199,-0.4651708741665628,-0.435074479673964,0.030096394492598766
case_200,-0.2166508583859983,-0.43324005930862336,-0.21658920092262507
