case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_19,case_53,19,53,1.0958276029703855,0.31434511072525506,0.7277968804144588,0.06185982232935475,0.03194207501520262,0.028203508650912933,0.3838383838383838,0.15283488147809757,0.30704025176386984,0.28123783902678373,60,15,False,difference_exceeds_integrated_presplit_screen
case_96,case_149,96,149,1.2128498376255106,0.16225021399537484,0.7393309083348051,0.06000881279353248,0.05455446275821644,0.028718889719711038,0.47363078016344345,0.05212933353636871,0.31800416222526773,0.2812547586416933,31,35,False,difference_exceeds_integrated_presplit_screen
case_123,case_155,123,155,0.7099575766707574,0.24110933962059553,1.0971889260746635,0.010537774700616294,0.008185387234668608,0.13091094248997032,0.11298918836607279,0.10451246129638089,0.6263133851073549,0.2812716782566029,61,48,False,difference_exceeds_integrated_presplit_screen
case_02,case_75,2,75,0.9104550290343894,0.3909256844277073,0.8161570378483401,0.04283416867919517,0.02709852527422928,0.14614340016597696,0.23937871174052078,0.20313689660423329,0.4013501852697833,0.28128859787151245,62,52,False,difference_exceeds_integrated_presplit_screen
case_20,case_179,20,179,0.6615711398885824,0.7641555541212486,0.7490867896780196,0.14485102335302227,0.16774717643450604,0.15100274367497057,0.09365006852444038,0.42063854626668695,0.32972945535759607,0.28133935671624116,63,75,False,difference_exceeds_integrated_presplit_screen
case_09,case_61,9,61,0.6543391063775326,0.31262010383739414,1.0499122786117594,0.06333159175121883,0.08757445011169905,0.07650948751277971,0.09035074361707528,0.15176894573879499,0.6022029338612254,0.28144087440569854,60,46,False,difference_exceeds_integrated_presplit_screen
case_46,case_182,46,182,0.9356569873738699,0.8616980765087172,0.5200392799285924,0.1803106522273001,0.18160607811118717,0.11939557249087712,0.25856555504796713,0.4712451144611949,0.1145627125526623,0.28145779402060805,49,69,False,difference_exceeds_integrated_presplit_screen
case_10,case_168,10,168,0.8651162713413665,0.9839075252567154,0.5020335762097965,0.20188761771772112,0.2105479591681819,0.22430049012933856,0.20775595147454443,0.5337800111669458,0.10298969595452008,0.28150855286533677,64,66,False,difference_exceeds_integrated_presplit_screen
case_69,case_133,69,133,0.9454443453744044,0.8509585478323094,0.5197487661272238,0.1827795728813442,0.18341323212136715,0.1298899174289428,0.2650119283285112,0.46525557078320895,0.11425815948429013,0.28150855286533677,77,60,False,difference_exceeds_integrated_presplit_screen
case_164,case_197,164,197,0.7830900089904402,0.15721639604545815,1.1367075845232342,0.053540516704609145,0.05197150729730885,0.020524329349591326,0.15141363382569412,0.04918532054210446,0.6441297396071265,0.281576231324975,21,59,False,difference_exceeds_integrated_presplit_screen
