iteration,similarity_group,n_splits_used_by_group,leakage_detected
4,group_068,1,False
4,group_069,1,False
4,group_070,1,False
4,group_071,1,False
4,group_072,1,False
4,group_073,1,False
4,group_074,1,False
4,group_075,1,False
4,group_076,1,False
4,group_077,1,False
4,group_078,1,False
4,group_079,1,False
4,group_080,1,False
4,group_081,1,False
4,group_082,1,False
4,group_083,1,False
4,group_084,1,False
4,group_085,1,False
4,group_086,1,False
4,group_087,1,False
4,group_088,1,False
4,group_089,1,False
4,group_090,1,False
4,group_091,1,False
4,group_092,1,False
4,group_093,1,False
4,group_094,1,False
4,group_095,1,False
4,group_096,1,False
4,group_097,1,False
4,group_098,1,False
4,group_099,1,False
4,group_100,1,False
4,group_101,1,False
4,group_102,1,False
4,group_103,1,False
4,group_104,1,False
4,group_105,1,False
4,group_106,1,False
4,group_107,1,False
4,group_108,1,False
4,group_109,1,False
4,group_110,1,False
4,group_111,1,False
4,group_112,1,False
4,group_113,1,False
4,group_114,1,False
4,group_115,1,False
4,group_116,1,False
4,group_117,1,False
4,group_118,1,False
4,group_119,1,False
4,group_120,1,False
4,group_121,1,False
4,group_122,1,False
4,group_123,1,False
4,group_124,1,False
4,group_125,1,False
4,group_126,1,False
4,group_127,1,False
4,group_128,1,False
4,group_129,1,False
4,group_130,1,False
4,group_131,1,False
4,group_132,1,False
4,group_133,1,False
4,group_134,1,False
4,group_135,1,False
4,group_136,1,False
4,group_137,1,False
4,group_138,1,False
4,group_139,1,False
4,group_140,1,False
4,group_141,1,False
4,group_142,1,False
4,group_143,1,False
4,group_144,1,False
4,group_145,1,False
4,group_146,1,False
4,group_147,1,False
4,group_148,1,False
4,group_149,1,False
4,group_150,1,False
4,group_151,1,False
4,group_152,1,False
4,group_153,1,False
4,group_154,1,False
4,group_155,1,False
