case_id,n_elements,all_elements_used,case_equaliser,coordinate_source,q90,q95,q99,raw_weight_mean,normalised_weight_mean,normalised_weight_min,normalised_weight_max,iteration
case_75,400360,True,1.0,derived_from_exported_xy,8.108385753631593,9.665987253189082,15.416833810806175,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_77,400360,True,1.0,derived_from_exported_xy,6.230674314498903,7.30365433692932,11.748572282791129,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_78,400360,True,1.0,derived_from_exported_xy,4.941975545883179,5.647890686988831,8.848848810195921,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_79,400360,True,1.0,derived_from_exported_xy,8.438597679138184,10.056427860260005,15.850202865600538,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_82,400360,True,1.0,derived_from_exported_xy,8.144675540924077,9.606270885467529,15.515425043106074,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_83,400360,True,1.0,derived_from_exported_xy,8.502192497253422,10.300168991088865,16.17190748214708,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_85,400360,True,1.0,derived_from_exported_xy,8.277219963073733,9.90499882698059,15.767036905288688,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_86,400360,True,1.0,derived_from_exported_xy,6.435240983963014,7.60098669528961,12.306284666061373,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_87,400360,True,1.0,derived_from_exported_xy,8.551931095123292,10.772640562057495,15.996327209472646,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_89,400360,True,1.0,derived_from_exported_xy,8.03588161468506,9.501103210449216,14.831547985076902,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_91,400360,True,1.0,derived_from_exported_xy,9.551535987854004,10.791361618041991,16.847370262145986,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_92,400360,True,1.0,derived_from_exported_xy,7.7384740829467775,8.626925182342527,13.86244007110595,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_93,400360,True,1.0,derived_from_exported_xy,7.96157169342041,9.250488615036007,14.655003519058223,1.240003996403237,0.9999999999999996,0.8064490137939926,6.451592110351941,2
case_95,400360,True,1.0,derived_from_exported_xy,8.410765743255617,10.778055810928343,16.617831211090085,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_96,400360,True,1.0,derived_from_exported_xy,6.657563495635986,7.780730009078979,12.240180082321166,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_97,400360,True,1.0,derived_from_exported_xy,8.249234867095948,9.87625789642334,15.68950984954829,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_98,400360,True,1.0,derived_from_exported_xy,9.397980308532714,10.456711626052856,16.65958471298217,1.240003996403237,0.9999999999999997,0.8064490137939926,6.451592110351941,2
case_99,400360,True,1.0,derived_from_exported_xy,5.001983404159547,5.963100194931029,9.452709732055656,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_101,400360,True,1.0,derived_from_exported_xy,8.630828952789315,10.397786188125611,16.382473373413045,1.240003996403237,0.9999999999999996,0.8064490137939926,6.451592110351941,2
case_102,400360,True,1.0,derived_from_exported_xy,6.313833618164063,8.40616006851196,14.098538675308209,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_104,400360,True,1.0,derived_from_exported_xy,8.131133270263673,9.49413046836853,15.03142244338985,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_106,400360,True,1.0,derived_from_exported_xy,4.336377429962159,5.13510546684265,7.404705095291117,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_107,400360,True,1.0,derived_from_exported_xy,8.390282630920412,9.823783111572263,15.309831600189176,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_109,400360,True,1.0,derived_from_exported_xy,7.783132171630859,9.180979347229002,14.838084297180142,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_110,400360,True,1.0,derived_from_exported_xy,5.942445325851442,6.862423944473265,10.958230762481676,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_111,400360,True,1.0,derived_from_exported_xy,3.526404452323914,5.327201390266418,13.019953222274761,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_115,400360,True,1.0,derived_from_exported_xy,8.64419755935669,10.394952774047848,16.448994159698447,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_116,400360,True,1.0,derived_from_exported_xy,8.049812889099123,9.626658058166502,15.341071567535392,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_117,400360,True,1.0,derived_from_exported_xy,7.562745857238772,8.875784015655517,13.745235443115213,1.240003996403237,1.0000000000000004,0.8064490137939926,6.451592110351941,2
case_118,400360,True,1.0,derived_from_exported_xy,7.4225030422210745,9.728425073623656,15.380120143890334,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_119,400360,True,1.0,derived_from_exported_xy,6.877431440353393,8.03566355705261,12.864710826873766,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_120,400360,True,1.0,derived_from_exported_xy,8.594173526763916,10.294800615310661,16.261321811676016,1.240003996403237,0.9999999999999999,0.8064490137939926,6.451592110351941,2
case_121,400360,True,1.0,derived_from_exported_xy,6.769794368743898,7.992828512191771,12.891168012618962,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_122,400360,True,1.0,derived_from_exported_xy,4.8859138011932375,5.731524729728698,9.12270348548888,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_125,400360,True,1.0,derived_from_exported_xy,6.6000275135040285,7.719360971450801,12.352934799194323,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_127,400360,True,1.0,derived_from_exported_xy,6.558638811111451,7.859949254989618,12.608463897705061,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_128,400360,True,1.0,derived_from_exported_xy,4.805820369720459,5.586181855201721,8.927573862075796,1.240003996403237,1.0,0.8064490137939926,6.451592110351941,2
case_129,400360,True,1.0,derived_from_exported_xy,6.958357095718385,8.360485506057739,12.449416322708034,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_130,400360,True,1.0,derived_from_exported_xy,6.539754009246829,7.741332387924194,12.371518497466973,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_136,400360,True,1.0,derived_from_exported_xy,5.139823007583619,5.935817217826843,9.499952650070178,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
case_137,400360,True,1.0,derived_from_exported_xy,4.637449979782106,5.4260913848876955,8.722746763229296,1.240003996403237,1.0000000000000002,0.8064490137939926,6.451592110351941,2
