split,comparison,selected_model,reference_model,metric,direction,n_paired_cases,mean_delta_selected_minus_reference,median_delta_selected_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,wilcoxon_statistic,wilcoxon_two_sided_p,descriptive_only
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,0.026573426573426578,0.02022977022977024,0.018331252081252063,0.03648018648018649,0.0,0.0006533107814151376,True
validation,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.02023271051361162,-0.015366828954683331,-0.025230491452429067,-0.015331979461960648,0.0,6.103515625e-05,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,rmse,lower_is_better,15,-0.09632028500145794,-0.10056514243148418,-0.13064715566991955,-0.0580384205622664,8.0,0.00152587890625,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,top5_actual_rmse,lower_is_better,15,-0.08638243554605346,-0.20237118508055296,-0.1759023298500455,0.01822730754110458,36.0,0.1876220703125,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,p95_relative_error,lower_is_better,15,-0.008983344855202436,-0.00631298063836167,-0.01695535979639985,-0.001633075368902506,28.0,0.072998046875,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,p99_relative_error,lower_is_better,15,-0.0052099023952529916,-0.008129297180830802,-0.008207990073890985,-0.001480237604281226,18.0,0.01507568359375,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,p99_underprediction_fraction,lower_is_better,15,-0.0052099023952529916,-0.008129297180830802,-0.008201591548370428,-0.0014561069917648358,18.0,0.01507568359375,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,top1pct_hotspot_overlap,higher_is_better,15,-0.011038961038961037,-0.0029970029970030065,-0.022127872127872133,-0.0013986013986013919,31.0,0.17700734666467977,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,top1_recall_in_predicted_top5,higher_is_better,15,0.056726606726606725,0.06618381618381619,0.039027222777222786,0.07244422244422245,6.0,0.0008544921875,True
internal_test,selected_vs_v10,v11_selected_gain_0.75,v10_signed_staged_symbolic,prediction_abs_max_ratio,closer_to_one_is_better,15,0.005023303761702236,0.010979978141130164,-0.004107201962539526,0.012389680543238272,33.0,0.1353759765625,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,rmse,lower_is_better,15,-0.05117669095194577,-0.041083745968208296,-0.06585505196209111,-0.038822397236829405,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,top5_actual_rmse,lower_is_better,15,0.09486637947956315,0.13509490354905962,0.05277696044923365,0.13097430537039592,7.0,0.00115966796875,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,p95_relative_error,lower_is_better,15,-0.02094429623639539,-0.034597666907221956,-0.033486068540625066,-0.00691366663593313,15.0,0.00836181640625,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,p99_relative_error,lower_is_better,15,0.02759171896305385,0.026120502622991898,0.02554022085810878,0.029956392725796567,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,p99_underprediction_fraction,lower_is_better,15,0.02819940170386679,0.026182935559616843,0.02642073459396427,0.030340718787304113,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,top1pct_hotspot_overlap,higher_is_better,15,0.026839826839826848,0.02097902097902099,0.02124542124542125,0.03283424908424907,0.0,0.0006467491225764764,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,top1_recall_in_predicted_top5,higher_is_better,15,0.01883116883116882,0.014235764235764226,0.014152514152514157,0.02422577422577421,0.0,6.103515625e-05,True
internal_test,selected_vs_current_v11,v11_selected_gain_0.75,v11_current_gain_1_00,prediction_abs_max_ratio,closer_to_one_is_better,15,-0.02524995933803802,-0.02951125788990694,-0.02925268055628357,-0.0209496288414093,0.0,6.103515625e-05,True
