split,case_id,metric,recomputed_lambda_1,frozen_parent_v11,absolute_difference,tolerance,pass
internal_test,case_164,p99_underprediction_fraction,0.17071587062386662,0.1707158706238666,2.7755575615628914e-17,1e-06,True
internal_test,case_164,prediction_abs_max_ratio,0.712724335703314,0.712724335703314,0.0,1e-06,True
internal_test,case_164,top5pct_hotspot_overlap,0.45963632730542514,0.4596363273054251,5.551115123125783e-17,1e-06,True
internal_test,case_164,top1pct_hotspot_overlap,0.482017982017982,0.482017982017982,0.0,1e-06,True
internal_test,case_164,top1_recall_in_predicted_top5,0.8751248751248751,0.8751248751248751,0.0,1e-06,True
internal_test,case_176,rmse,1.5763811098229805,1.5763811098229803,2.220446049250313e-16,1.5763811098229802e-06,True
internal_test,case_176,r2,0.5598612895334601,0.5598612895334601,0.0,1e-06,True
internal_test,case_176,predicted_mean,4.0745491452951885,4.0745491452951885,0.0,4.074549145295188e-06,True
internal_test,case_176,predicted_p95,8.292584828106117,8.292584828106117,0.0,8.292584828106117e-06,True
internal_test,case_176,predicted_p99,10.781000387850622,10.781000387850622,0.0,1.078100038785062e-05,True
internal_test,case_176,predicted_max,22.534303726971913,22.534303726971917,3.552713678800501e-15,2.2534303726971916e-05,True
internal_test,case_176,p95_relative_error,0.05937353150855777,0.0593735315085577,6.938893903907228e-17,1e-06,True
internal_test,case_176,p99_relative_error,0.09190301762995491,0.0919030176299549,1.3877787807814457e-17,1e-06,True
internal_test,case_176,p99_underprediction_fraction,0.09190301762995491,0.0919030176299549,1.3877787807814457e-17,1e-06,True
internal_test,case_176,prediction_abs_max_ratio,0.829109585979901,0.829109585979901,0.0,1e-06,True
internal_test,case_176,top5pct_hotspot_overlap,0.5315715855729843,0.5315715855729843,0.0,1e-06,True
internal_test,case_176,top1pct_hotspot_overlap,0.4692807192807193,0.4692807192807193,0.0,1e-06,True
internal_test,case_176,top1_recall_in_predicted_top5,0.8688811188811189,0.8688811188811189,0.0,1e-06,True
internal_test,case_190,rmse,1.5811551048992676,1.5811551048992676,0.0,1.5811551048992675e-06,True
internal_test,case_190,r2,0.641322822410984,0.641322822410984,0.0,1e-06,True
internal_test,case_190,predicted_mean,4.5447913670123326,4.5447913670123326,0.0,4.544791367012333e-06,True
internal_test,case_190,predicted_p95,8.463751224521783,8.463751224521783,0.0,8.463751224521783e-06,True
internal_test,case_190,predicted_p99,10.749126069354036,10.749126069354036,0.0,1.0749126069354036e-05,True
internal_test,case_190,predicted_max,22.364932140130477,22.36493214013048,3.552713678800501e-15,2.236493214013048e-05,True
internal_test,case_190,p95_relative_error,0.012378063447937503,0.0123780634479375,3.469446951953614e-18,1e-06,True
internal_test,case_190,p99_relative_error,0.1954573888745316,0.1954573888745316,0.0,1e-06,True
internal_test,case_190,p99_underprediction_fraction,0.1954573888745316,0.1954573888745316,0.0,1e-06,True
internal_test,case_190,prediction_abs_max_ratio,0.7878439284019003,0.7878439284019003,0.0,1e-06,True
internal_test,case_190,top5pct_hotspot_overlap,0.4760215805774803,0.4760215805774803,0.0,1e-06,True
internal_test,case_190,top1pct_hotspot_overlap,0.4208291708291708,0.4208291708291708,0.0,1e-06,True
internal_test,case_190,top1_recall_in_predicted_top5,0.8259240759240759,0.8259240759240759,0.0,1e-06,True
internal_test,case_20,rmse,1.9127150207926622,1.9127150207926624,2.220446049250313e-16,1.9127150207926625e-06,True
internal_test,case_20,r2,0.6396862110930952,0.6396862110930952,0.0,1e-06,True
internal_test,case_20,predicted_mean,5.734077329537548,5.734077329537548,0.0,5.7340773295375475e-06,True
internal_test,case_20,predicted_p95,10.540448543097634,10.540448543097634,0.0,1.0540448543097634e-05,True
internal_test,case_20,predicted_p99,13.347155753728595,13.347155753728597,1.7763568394002505e-15,1.3347155753728595e-05,True
internal_test,case_20,predicted_max,27.519271463444355,27.519271463444355,0.0,2.7519271463444353e-05,True
