case_id,estimated_v10_mean_residual_mpa,predicted_mean_correction_mpa,error_mpa
case_73,-0.6296698515714544,-0.2793892277354988,0.3502806238359556
case_74,-0.8707596080477137,-0.5455600262297835,0.3251995818179302
case_75,-0.4546733431248111,-0.47009748184346034,-0.015424138718649227
case_77,-0.4590846593760135,-0.5233869170050102,-0.06430225762899666
case_78,-0.5670914550780097,-0.31809003512532397,0.24900141995268577
case_79,-0.39837186536511227,-0.47081201943733975,-0.07244015407222748
case_84,-0.45490241887537186,-0.4948511965112058,-0.03994877763583393
case_85,-0.48835628434700784,-0.4654341562551487,0.022922128091859117
case_89,-0.5680439565826558,-0.4695997359248637,0.09844422065779213
case_91,-0.5631613510404576,-0.5593597411722274,0.0038016098682301935
case_92,-0.3597159545805271,-0.5678627467402244,-0.20814679215969734
case_94,-0.7306432027558939,-0.7168406585164259,0.013802544239468029
case_95,-0.80421461501013,-0.4012582105094551,0.40295640450067494
case_96,-1.193867004659007,-0.5498503345055488,0.6440166701534582
case_97,-0.3061828832955706,-0.4646511821046263,-0.15846829880905572
case_99,-0.20143817623425825,-0.5343788949895277,-0.3329407187552695
case_100,-0.4972513568592549,-0.5051956454312495,-0.007944288571994584
case_104,-0.46309721537564136,-0.5003095721949115,-0.0372123568192701
case_105,-0.6119558112186012,-0.44244042781776305,0.16951538340083816
case_106,-0.3275720297930616,-0.3554610870613427,-0.027889057268281114
case_107,-0.6515826352139289,-0.456346806635899,0.1952358285780299
case_109,-0.3481970338959494,-0.4850710553052586,-0.1368740214093092
case_110,-0.5595964045896387,-0.43550647169128576,0.1240899328983529
case_111,0.47259224153239626,-0.13433544720278423,-0.6069276887351804
case_114,-0.5832292386657574,-0.4056753738704352,0.1775538647953222
case_115,-0.6005819211211346,-0.4129635638593253,0.1876183572618093
case_116,-0.5041581527170641,-0.493329210590593,0.01082894212647112
case_118,0.22942711108726246,-0.27188800999087115,-0.5013151210781336
case_119,-0.7620029667234601,-0.4048756768962829,0.35712728982717723
case_121,-0.4144198306389672,-0.40476331830079393,0.009656512338173273
case_122,-0.5366730087723746,-0.3712948870689763,0.16537812170339827
case_124,-0.2959708351495853,-0.3975891689194859,-0.10161833376990065
case_125,-0.6756476217167178,-0.5368043409807975,0.13884328073592023
case_127,-0.41277999464634996,-0.37734689157819035,0.03543310306815961
case_128,-0.41165399693754234,-0.35158304029797605,0.0600709566395663
case_129,-0.22395286242878848,-0.3172563434924889,-0.0933034810637004
case_130,-0.3879037498600389,-0.5397763437956626,-0.15187259393562375
case_133,-0.441595512302017,-0.43591468759265506,0.005680824709361931
case_136,-0.42995659410766834,-0.42989705821839086,5.953588927748443e-05
case_137,-0.46914454917959386,-0.3440412528512493,0.12510329632834455
case_139,-0.26280721855645545,-0.43894661323740924,-0.1761393946809538
case_141,-0.4736869477606548,-0.4290252899072923,0.04466165785336251
case_142,-0.4310722833912916,-0.4300376180006842,0.0010346653906074255
case_143,-0.2579948490802365,-0.4288081061607495,-0.17081325708051298
case_144,-0.39987344684084053,-0.5494466167303078,-0.14957316988946728
case_146,-0.5923638546402644,-0.4153035949458538,0.17706025969441064
case_148,-0.05454223332732217,-0.4257264806246527,-0.3711842472973305
case_150,-0.08771947028716923,-0.3073513282729201,-0.21963185798575088
case_151,-0.5103774443441184,-0.409950797542844,0.10042664680127433
case_153,-0.37464579654300073,-0.43588964841228905,-0.061243851869288324
case_154,-0.13529174379149594,-0.33777713620285377,-0.20248539241135782
case_155,-0.44583772931690974,-0.42915224216223624,0.016685487154673495
case_156,-0.19452684825333438,-0.4516867316776867,-0.2571598834243523
case_157,-0.4784942729544011,-0.4141677905181962,0.06432648243620492
case_158,-0.18257450788095586,-0.48313573362411033,-0.30056122574315447
case_163,-0.5405245437162578,-0.5146540873118856,0.025870456404372244
case_164,-0.44003106408982195,-0.3730752751269697,0.06695578896285226
case_165,0.32049496672542455,-0.16813796697802574,-0.4886329337034503
case_166,-0.2613523527245282,-0.43940252800927304,-0.17805017528474482
case_169,-0.024594782008392223,-0.441383921139186,-0.4167891391307938
case_170,-0.5436107814631629,-0.3747317187635336,0.16887906269962927
case_171,-0.07516361779256459,-0.45793116942913326,-0.38276755163656867
case_173,0.3938205134542498,-0.139209977667354,-0.5330304911216037
case_175,-0.3479560776245131,-0.38587971381565045,-0.037923636191137367
case_179,-0.3278497171082844,-0.40064618192306045,-0.07279646481477603
case_180,-0.5235431227303488,-0.43512527686821767,0.08841784586213108
case_181,-0.10751469448823046,-0.3281234986197681,-0.2206088041315376
case_182,-0.5149311142378922,-0.5182943156502153,-0.003363201412323158
case_183,-0.2633150592602049,-0.3842696987910639,-0.120954639530859
case_184,-0.21445711392832806,-0.44468460506290963,-0.23022749113458157
case_185,-0.6858657659073566,-0.48205230387059417,0.20381346203676243
case_186,-0.581140686049317,-0.3644741397469,0.216666546302417
case_187,-0.17209071622434827,-0.44456369151499875,-0.2724729752906505
case_188,-0.477930051841516,-0.40452853126031507,0.07340152058120092
case_189,-0.17276123070668128,-0.4284118719303378,-0.25565064122365655
case_190,-0.23384316902105998,-0.4123302470173391,-0.17848707799627914
case_191,-0.28646402565550355,-0.4520844294466019,-0.16562040379109833
case_192,-0.2894051774450807,-0.43867409858297224,-0.14926892113789153
case_193,-0.4918671111786485,-0.44844398537209973,0.04342312580654878
case_194,-0.29269670147032023,-0.3619872377363612,-0.06929053626604098
case_195,-0.18797502594060395,-0.4813120832052967,-0.2933370572646928
case_200,-0.18771806527046764,-0.3968148382461236,-0.209096772975656
