case_id,case_number,feature,spearman,pearson,n_elements
case_27,27,theta,0.040400271774779825,0.06400018411133679,400360
case_27,27,z,0.2100986229028758,0.1565324580385571,400360
case_27,27,theta_sin,0.040400273874472745,0.06374004678625762,400360
case_27,27,theta_cos,-0.04040038649224757,-0.061808783357881175,400360
case_28,28,fluence_rate,0.12802849421686144,-0.19999901717505,400360
case_28,28,temperature,-0.02051111022941788,-0.1779323143214878,400360
case_28,28,weight_loss_rate,-0.002678813432618884,-0.34676805366344554,400360
case_28,28,rho,-0.00920039693747704,0.16622319593824356,400360
case_28,28,theta,0.03508717929231198,0.06191467846184126,400360
case_28,28,z,0.2393922765793795,0.172760836626613,400360
case_28,28,theta_sin,0.03508717895268167,0.061641458361956926,400360
case_28,28,theta_cos,-0.03508725529269777,-0.05960055954429406,400360
case_29,29,fluence_rate,-0.04541587943630474,-0.2522994624808953,400360
case_29,29,temperature,-0.10615025958844153,-0.12943265234857976,400360
case_29,29,weight_loss_rate,-0.10536190633737115,-0.308328954955506,400360
case_29,29,rho,0.11705610198271564,0.22635024076862922,400360
case_29,29,theta,0.04881328489757499,0.06272611426192683,400360
case_29,29,z,0.10280793981763121,0.09645592300033314,400360
case_29,29,theta_sin,0.048813282885381615,0.0628605800788952,400360
case_29,29,theta_cos,-0.04881325998748242,-0.058544928764196986,400360
case_32,32,fluence_rate,-0.025454920407403926,-0.269456067879446,400360
case_32,32,temperature,-0.09503786996046075,-0.25361866660787025,400360
case_32,32,weight_loss_rate,-0.1792457001111798,-0.4025120668037517,400360
case_32,32,rho,0.06312760059813233,0.2310608467626137,400360
case_32,32,theta,0.029669248024989006,0.04446929601239872,400360
case_32,32,z,0.15194281038625249,0.1223936168126081,400360
case_32,32,theta_sin,0.02966924626863733,0.043709867293990075,400360
case_32,32,theta_cos,-0.029669329321220295,-0.04670856495079331,400360
case_34,34,fluence_rate,0.06776977931050507,-0.2554687363663258,400360
case_34,34,temperature,-0.08328755209347304,-0.18452095307786287,400360
case_34,34,weight_loss_rate,-0.05756010407892432,-0.2043017466561519,400360
case_34,34,rho,0.07842944935854318,0.23806541871840142,400360
case_34,34,theta,0.030591887697800493,0.05151930151255795,400360
case_34,34,z,0.22175354775764305,0.1605396535866641,400360
case_34,34,theta_sin,0.03059188847621464,0.05125808913911725,400360
case_34,34,theta_cos,-0.030591967598813982,-0.04965200735708305,400360
case_35,35,fluence_rate,0.07793068941054705,-0.2548647869012562,400360
case_35,35,temperature,0.009662142578570003,-0.17582850690291557,400360
case_35,35,weight_loss_rate,-0.07472317278201056,-0.20676831301556345,400360
case_35,35,rho,0.08254519753707135,0.25827293550862307,400360
case_35,35,theta,0.030844115278313055,0.045409476624269356,400360
case_35,35,z,0.21762054497665528,0.16682518117562153,400360
case_35,35,theta_sin,0.030844115380547533,0.04521014641627551,400360
case_35,35,theta_cos,-0.030844228775996685,-0.043098613960349114,400360
case_36,36,fluence_rate,-0.48385187370628086,-0.7513909842466897,400360
case_36,36,temperature,-0.4003090547597094,-0.39445130966087183,400360
case_36,36,weight_loss_rate,-0.21765977636670783,-0.15208891793856147,400360
case_36,36,rho,0.30911142412162684,0.3847569815730944,400360
case_36,36,theta,0.03777854079101571,-0.040057602938785096,400360
case_36,36,z,-0.03443056176516445,0.04726646191988565,400360
case_36,36,theta_sin,0.03777854095710722,-0.04363853797276338,400360
case_36,36,theta_cos,-0.03777858270940682,0.013528158508597121,400360
case_39,39,fluence_rate,-0.09269532236345071,-0.35304618721966463,400360
case_39,39,temperature,0.0990221048353853,0.1593826343155104,400360
case_39,39,weight_loss_rate,-0.28306424175428835,-0.5184747200579333,400360
case_39,39,rho,0.13606490461678453,0.30487391793590457,400360
case_39,39,theta,0.062316739946385015,0.029500543813381106,400360
case_39,39,z,0.16815885259718458,0.14037309779981683,400360
case_39,39,theta_sin,0.062316738731215314,0.027399253646850034,400360
case_39,39,theta_cos,-0.06231687393694561,-0.04224271632295819,400360
case_40,40,fluence_rate,0.1485505172263601,-0.19739220277665648,400360
case_40,40,temperature,0.04866119925437676,-0.18469768213195153,400360
case_40,40,weight_loss_rate,-0.09520029867406617,-0.39257268919182736,400360
case_40,40,rho,-0.014528026445628709,0.17074063928556532,400360
case_40,40,theta,0.028269799843688326,0.054871506781953655,400360
case_40,40,z,0.23690355480060632,0.17891266479142037,400360
case_40,40,theta_sin,0.028269800563532003,0.054824905387259724,400360
case_40,40,theta_cos,-0.028269913375261416,-0.05129622634850772,400360
case_42,42,fluence_rate,-0.2354548166729889,-0.47481495131254103,400360
case_42,42,temperature,-0.1944589053110834,-0.31861352405221754,400360
case_42,42,weight_loss_rate,-0.1911913564743619,-0.30293740051120543,400360
case_42,42,rho,0.20266852953191314,0.3451304490738383,400360
case_42,42,theta,0.04151829491290221,0.02337988182912937,400360
case_42,42,z,0.07833628648519553,0.07057175329372321,400360
case_42,42,theta_sin,0.0415182952984648,0.020601460884466783,400360
case_42,42,theta_cos,-0.04151841748349972,-0.04086245877454423,400360
case_43,43,fluence_rate,-0.2213740891940627,-0.462468221840434,400360
case_43,43,temperature,-0.20216662467549174,-0.3508356266284043,400360
case_43,43,weight_loss_rate,-0.21628745305956065,-0.2837632808473595,400360
case_43,43,rho,0.20177742391355277,0.34955068041726206,400360
case_43,43,theta,0.03829585159149608,0.022358683178476824,400360
case_43,43,z,0.06814719157959713,0.06408375837619301,400360
