case_id,case_number,file_name,file_path,size_mb,n_elements_from_line_count,header
case_60,60,FE_Results_Case_60.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_60.txt,33.922875,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_61,61,FE_Results_Case_61.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_61.txt,33.919973,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_62,62,FE_Results_Case_62.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_62.txt,33.903148,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_63,63,FE_Results_Case_63.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_63.txt,33.913103,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_64,64,FE_Results_Case_64.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_64.txt,33.907851,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_65,65,FE_Results_Case_65.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_65.txt,33.909203,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_66,66,FE_Results_Case_66.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_66.txt,33.919435,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_67,67,FE_Results_Case_67.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_67.txt,33.919403,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_68,68,FE_Results_Case_68.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_68.txt,33.919812,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_69,69,FE_Results_Case_69.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_69.txt,33.920312,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_70,70,FE_Results_Case_70.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_70.txt,33.909315,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_71,71,FE_Results_Case_71.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_71.txt,33.910434,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_72,72,FE_Results_Case_72.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_72.txt,33.90383,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_73,73,FE_Results_Case_73.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_73.txt,33.919317,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_74,74,FE_Results_Case_74.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_74.txt,33.916049,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
case_75,75,FE_Results_Case_75.txt,/Users/novwin/Documents/University/University of Manchester/毕设项目/Nuclear graphite/NotebookCT3/ Case Test Data/FE_Results_Cases_All/FE_Results_Case_75.txt,33.921045,400360,"ElementID, X, Y, Z,  FluenceRate, Temperature, WeightLossRate, MaxPrincipalStress"
