case_id,variable,provisional_lower,provisional_upper,observed_min,observed_max,n_below,n_above,fraction_outside,action
case_32,temperature,25.0,600.0,346.1290588378906,447.25738525390625,0,0,0.0,flag_only_no_clipping
case_32,weight_loss_rate,0.0,2.0,0.26476800441741943,0.6311230063438416,0,0,0.0,flag_only_no_clipping
case_32,sigma_max_principal,-70.0,35.0,-2.9042770862579346,33.723785400390625,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_34,fluence_rate,0.0,7.0,2.7513720989227295,5.170565128326416,0,0,0.0,flag_only_no_clipping
case_34,temperature,25.0,600.0,348.0829772949219,445.7388000488281,0,0,0.0,flag_only_no_clipping
case_34,weight_loss_rate,0.0,2.0,0.31779301166534424,0.6937620043754578,0,0,0.0,flag_only_no_clipping
case_34,sigma_max_principal,-70.0,35.0,-2.4199059009552,30.05852508544922,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_35,fluence_rate,0.0,7.0,2.759995937347412,5.15447998046875,0,0,0.0,flag_only_no_clipping
case_35,temperature,25.0,600.0,346.4566955566406,432.19158935546875,0,0,0.0,flag_only_no_clipping
case_35,weight_loss_rate,0.0,2.0,0.32864901423454285,0.703665018081665,0,0,0.0,flag_only_no_clipping
case_35,sigma_max_principal,-70.0,35.0,-1.8222570419311523,21.769367218017578,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_36,fluence_rate,0.0,7.0,3.1361310482025146,5.353445053100586,0,0,0.0,flag_only_no_clipping
case_36,temperature,25.0,600.0,357.5941162109375,449.8446044921875,0,0,0.0,flag_only_no_clipping
case_36,weight_loss_rate,0.0,2.0,0.3271830081939697,0.6401910185813904,0,0,0.0,flag_only_no_clipping
case_36,sigma_max_principal,-70.0,35.0,-2.6804919242858887,31.747325897216797,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_39,fluence_rate,0.0,7.0,2.978343963623047,5.221761226654053,0,0,0.0,flag_only_no_clipping
case_39,temperature,25.0,600.0,355.8565673828125,442.1180725097656,0,0,0.0,flag_only_no_clipping
case_39,weight_loss_rate,0.0,2.0,0.3024980127811432,0.6750900149345398,0,0,0.0,flag_only_no_clipping
case_39,sigma_max_principal,-70.0,35.0,-1.8751020431518555,22.030895233154297,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_40,fluence_rate,0.0,7.0,2.761162042617798,5.189236164093018,0,0,0.0,flag_only_no_clipping
case_40,temperature,25.0,600.0,346.0698547363281,432.421630859375,0,0,0.0,flag_only_no_clipping
case_40,weight_loss_rate,0.0,2.0,0.269553005695343,0.6253079771995544,0,0,0.0,flag_only_no_clipping
case_40,sigma_max_principal,-70.0,35.0,-2.5078580379486084,32.35271072387695,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_42,fluence_rate,0.0,7.0,3.0395710468292236,5.2952880859375,0,0,0.0,flag_only_no_clipping
case_42,temperature,25.0,600.0,347.9400634765625,445.5950927734375,0,0,0.0,flag_only_no_clipping
case_42,weight_loss_rate,0.0,2.0,0.2633120119571686,0.6343759894371033,0,0,0.0,flag_only_no_clipping
case_42,sigma_max_principal,-70.0,35.0,-2.5635499954223633,24.76995849609375,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_43,fluence_rate,0.0,7.0,3.0322248935699463,5.289196014404297,0,0,0.0,flag_only_no_clipping
case_43,temperature,25.0,600.0,346.23516845703125,446.4568786621094,0,0,0.0,flag_only_no_clipping
case_43,weight_loss_rate,0.0,2.0,0.2620919942855835,0.6271389722824097,0,0,0.0,flag_only_no_clipping
case_43,sigma_max_principal,-70.0,35.0,-2.622947931289673,24.57630157470703,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_44,fluence_rate,0.0,7.0,2.74631404876709,5.159008026123047,0,0,0.0,flag_only_no_clipping
case_44,temperature,25.0,600.0,346.1019287109375,445.4189758300781,0,0,0.0,flag_only_no_clipping
case_44,weight_loss_rate,0.0,2.0,0.2974329888820648,0.6709060072898865,0,0,0.0,flag_only_no_clipping
case_44,sigma_max_principal,-70.0,35.0,-2.7757821083068848,32.25737762451172,0,0,0.0,flag_only_pending_stress_sign_and_mesh_review
case_45,fluence_rate,0.0,7.0,3.0181379318237305,5.237214088439941,0,0,0.0,flag_only_no_clipping
case_45,temperature,25.0,600.0,352.5118713378906,448.9953918457031,0,0,0.0,flag_only_no_clipping
case_45,weight_loss_rate,0.0,2.0,0.26962199807167053,0.657371997833252,0,0,0.0,flag_only_no_clipping
case_45,sigma_max_principal,-70.0,35.0,-2.977837085723877,36.334930419921875,0,8,1.998201618543311e-05,flag_only_pending_stress_sign_and_mesh_review
case_47,fluence_rate,0.0,7.0,2.7470550537109375,5.176965236663818,0,0,0.0,flag_only_no_clipping
case_47,temperature,25.0,600.0,344.62200927734375,447.4723815917969,0,0,0.0,flag_only_no_clipping
case_47,weight_loss_rate,0.0,2.0,0.29919299483299255,0.6536499857902527,0,0,0.0,flag_only_no_clipping
