case_id,case_number,n_elements,stress_mean,stress_std,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max,theta_sin_mean,theta_sin_std,theta_sin_min,theta_sin_p95,theta_sin_max,theta_cos_mean,theta_cos_std,theta_cos_min,theta_cos_p95,theta_cos_max
case_18,18,400360,5.653727054595947,3.1095573902130127,9.915027427673339,15.819301843643087,36.45985412597656,0.05469577380357678,3.517946720123291,0.3797719180583954,2.7948310375213623,4.379520893096924,5.172270774841309,385.7846374511719,19.03748893737793,346.0321350097656,427.0711975097656,447.2848815917969,0.35971400141716003,0.05231698602437973,0.27836498618125916,0.49844399094581604,0.6176450252532959,187.42945861816406,17.369443893432617,130.13201904296875,212.41583404541015,223.12535095214844,0.3441617488861084,0.14119549095630646,0.007522679399698973,0.558680322766304,0.7734875679016113,443.4644470214844,256.96624755859375,1.774176001548767,842.663818359375,885.573486328125,0.3339920938014984,0.1313038468360901,0.007522608619183302,0.5300676763057708,0.6986347436904907,0.932041347026825,0.05007559061050415,0.7154784798622131,0.9922993212938309,0.9999716877937317
case_19,19,400360,5.88552188873291,3.242424249649048,10.343796873092652,16.581697864532423,35.93040466308594,0.05490558497352383,3.4237442016601562,0.3979784846305847,2.753110885620117,4.346603870391846,5.169137954711914,390.79241943359375,17.734981536865234,348.8207702636719,430.1040954589844,447.2859802246094,0.3600948452949524,0.06293410062789917,0.2799069881439209,0.5095490217208862,0.6611430048942566,187.40118408203125,17.36807632446289,130.10821533203125,212.3843795776367,223.06101989746094,0.3441576361656189,0.141196608543396,0.007521241903305054,0.5586770921945572,0.7734888195991516,443.4512634277344,256.93218994140625,1.785343050956726,842.5833160400391,885.5072631835938,0.33398815989494324,0.13130474090576172,0.007521171122789383,0.5300648927688598,0.6986356377601624,0.93204265832901,0.05007633939385414,0.7154775857925415,0.9923003911972046,0.9999716877937317
case_20,20,400360,5.788522243499756,3.1864700317382812,10.149102687835692,16.289631748199415,36.26679992675781,0.05497052652612649,3.4376983642578125,0.3961818218231201,2.758384943008423,4.357461929321289,5.164715766906738,386.24993896484375,18.953399658203125,346.9529724121094,428.4507751464844,446.9674987792969,0.35694003105163574,0.05317346006631851,0.2723129987716675,0.49205899238586426,0.6109539866447449,187.40969848632812,17.37143325805664,130.1112060546875,212.4037841796875,223.04074096679688,0.3441862165927887,0.14121192693710327,0.0075213247910141945,0.5587304532527924,0.773490309715271,443.4353332519531,256.9674987792969,1.7805659770965576,842.6195709228516,885.48193359375,0.3340141177177429,0.13131842017173767,0.007521254010498524,0.5301101475954055,0.6986367106437683,0.9320310354232788,0.05008304491639137,0.7154765725135803,0.9923003345727921,0.9999716877937317
case_21,21,400360,4.529992580413818,2.430978536605835,8.021694707870484,12.29129181861873,23.24169158935547,0.05070186831851334,3.7922611236572266,0.33545756340026855,2.9106080532073975,4.532018184661865,5.1995439529418945,380.05291748046875,17.622663497924805,346.1752624511719,418.7206726074219,438.1097412109375,0.30404648184776306,0.03468083590269089,0.2711560130119324,0.37346601486206055,0.6451990008354187,187.46678161621094,17.375,130.20030212402344,212.45607223510743,223.09042358398438,0.34419217705726624,0.14115680754184723,0.007524068467319012,0.5585457295179366,0.7734854221343994,443.2418518066406,256.9586181640625,1.7594749927520752,842.4063720703125,885.1780395507812,0.33402219414711,0.1312660276889801,0.007523997686803341,0.5299535334110259,0.6986331939697266,0.9320363402366638,0.05006740242242813,0.7154799699783325,0.9922958612442017,0.9999716877937317
case_24,24,400360,5.30462646484375,2.836033344268799,9.102337694168089,14.59939882278439,27.87183380126953,0.051773403936457185,3.4139652252197266,0.39827972650527954,2.76016902923584,4.31955099105835,5.173141956329346,386.143798828125,19.015222549438477,347.04833984375,428.4120788574219,447.1294860839844,0.29689478874206543,0.03347756713628769,0.2592349946498871,0.3571540117263794,0.6409990191459656,187.39599609375,17.377605438232422,130.15016174316406,212.4070747375488,222.98233032226562,0.34424322843551636,0.14124096930027008,0.007522513158619404,0.558909660577774,0.7734916806221008,443.2163391113281,256.9668273925781,1.7682820558547974,842.3827545166016,885.2001342773438,0.3340659439563751,0.13134387135505676,0.007522441912442446,0.5302620530128479,0.6986377239227295,0.932007908821106,0.05009707808494568,0.7154756188392639,0.9922999769449234,0.9999716877937317
case_27,27,400360,4.916951656341553,2.579890489578247,8.11301689147949,13.111589975357049,27.218610763549805,0.052527725047457285,3.4656834602355957,0.4056165814399719,2.761383056640625,4.414574146270752,5.186886787414551,385.16375732421875,19.543014526367188,346.2781677246094,427.7463684082031,446.6230163574219,0.5838103294372559,0.013321498408913612,0.38890400528907776,0.6116610169410706,0.6925140023231506,187.4605712890625,17.343477249145508,130.10055541992188,212.41182022094728,223.27023315429688,0.34403491020202637,0.14109419286251068,0.007524598855525255,0.5581749469041823,0.7734766006469727,443.5822448730469,256.9860534667969,1.7783360481262207,842.8259338378906,885.91650390625,0.3338783383369446,0.13121305406093597,0.007524528075009584,0.5296390175819395,0.6986268758773804,0.9320971965789795,0.05003219470381737,0.7154861688613892,0.9922959804534912,0.9999716877937317
case_28,28,400360,5.526687145233154,3.037137269973755,9.724851751327513,15.672686471939013,36.075843811035156,0.054218703167149565,3.4448089599609375,0.4001657962799072,2.760390043258667,4.344237804412842,5.188630104064941,388.1788024902344,18.416955947875977,346.8524169921875,427.000244140625,447.9479675292969,0.40037888288497925,0.05028070509433746,0.2839139997959137,0.5012249946594238,0.6603909730911255,187.40223693847656,17.36577796936035,130.1000213623047,212.38045349121094,223.1798858642578,0.3441500961780548,0.1411973237991333,0.007522035855799913,0.558640667796135,0.7734869718551636,443.53033447265625,256.9353942871094,1.7855960130691528,842.6932403564454,885.7392578125,0.33398109674453735,0.1313059777021408,0.007521965075284243,0.530034053325653,0.6986343264579773,0.9320449829101562,0.05007506161928177,0.7154788970947266,0.992300271987915,0.9999716877937317
case_29,29,400360,2.0336740016937256,1.1217516660690308,3.50241869688034,5.4425946283340405,12.888184547424316,0.0517958837046658,3.1236889362335205,0.23092006146907806,2.755556106567383,3.676456928253174,5.0824151039123535,392.5954895019531,17.600141525268555,350.0085754394531,424.3432922363281,447.32611083984375,0.3146193325519562,0.02816140279173851,0.2822889983654022,0.3714419901371002,0.6059269905090332,186.94482421875,17.384523391723633,129.7861785888672,211.94251022338867,222.28465270996094,0.344460129737854,0.14137569069862366,0.007520865648984909,0.5590549230575561,0.7735069394111633,442.00372314453125,256.5704345703125,1.4397180080413818,840.5125732421875,882.6060180664062,0.33426228165626526,0.13146324455738068,0.007520794868469238,0.5303852558135986,0.6986486315727234,0.9319175481796265,0.05015852302312851,0.7154649496078491,0.9923020601272583,0.9999717473983765
case_32,32,400360,5.271242618560791,3.0205562114715576,10.015990829467771,15.115796918868979,33.723785400390625,0.053784094315116396,4.004930019378662,0.3062626123428345,2.9958200454711914,4.635653018951416,5.224660873413086,385.7896423339844,19.027637481689453,346.1290588378906,427.2201232910156,447.25738525390625,0.34411993622779846,0.05735309422016144,0.26476800441741943,0.48003798723220825,0.6311230063438416,187.68222045898438,17.376462936401367,130.2214813232422,212.66760330200196,223.47274780273438,0.3440440595149994,0.14109835028648376,0.007526781409978867,0.5581197381019591,0.7734752297401428,443.9691467285156,257.1563720703125,1.7729990482330322,843.4951232910156,886.53564453125,0.33388668298721313,0.13121627271175385,0.0075267101638019085,0.5295921653509139,0.698625922203064,0.9320936799049377,0.05003524199128151,0.7154871225357056,0.9922948479652405,0.9999716877937317
case_34,34,400360,4.6840739250183105,2.524205446243286,8.226318550109863,12.876111402511585,30.05852508544922,0.05537266460185833,3.4060771465301514,0.39776644110679626,2.7513720989227295,4.2971391677856445,5.170565128326416,389.1787109375,18.73888397216797,348.0829772949219,428.2310485839844,445.7388000488281,0.5822104215621948,0.04344131052494049,0.31779301166534424,0.6336789727210999,0.6937620043754578,187.31549072265625,17.344968795776367,130.01649475097656,212.2637580871582,223.1333770751953,0.34408310055732727,0.14115072786808014,0.007523648906499147,0.5583891242742537,0.7734799385070801,443.3576965332031,256.8412780761719,1.7673670053482056,842.3940521240235,885.4196166992188,0.33392074704170227,0.1312645673751831,0.007523578125983477,0.5298206508159636,0.6986293196678162,0.9320734739303589,0.05005417391657829,0.7154837846755981,0.9922974139451981,0.9999716877937317
