case_id,case_number,source_file,n_elements_read,element_id_unique,element_id_min,element_id_max,element_id_monotonic,coordinate_source,rho_xy_crosscheck_max_abs,theta_xy_crosscheck_max_abs_rad,model_missing_count,model_infinite_count
case_101,101,FE_Results_Case_101.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_102,102,FE_Results_Case_102.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_104,104,FE_Results_Case_104.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_105,105,FE_Results_Case_105.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_106,106,FE_Results_Case_106.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_107,107,FE_Results_Case_107.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_109,109,FE_Results_Case_109.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_110,110,FE_Results_Case_110.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_111,111,FE_Results_Case_111.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_114,114,FE_Results_Case_114.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_115,115,FE_Results_Case_115.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_116,116,FE_Results_Case_116.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_117,117,FE_Results_Case_117.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_118,118,FE_Results_Case_118.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_119,119,FE_Results_Case_119.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_120,120,FE_Results_Case_120.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_121,121,FE_Results_Case_121.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_122,122,FE_Results_Case_122.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_124,124,FE_Results_Case_124.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_125,125,FE_Results_Case_125.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_127,127,FE_Results_Case_127.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_128,128,FE_Results_Case_128.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_129,129,FE_Results_Case_129.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_130,130,FE_Results_Case_130.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_133,133,FE_Results_Case_133.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_136,136,FE_Results_Case_136.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_137,137,FE_Results_Case_137.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_139,139,FE_Results_Case_139.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_141,141,FE_Results_Case_141.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_142,142,FE_Results_Case_142.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_143,143,FE_Results_Case_143.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_144,144,FE_Results_Case_144.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_145,145,FE_Results_Case_145.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_146,146,FE_Results_Case_146.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_147,147,FE_Results_Case_147.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_148,148,FE_Results_Case_148.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_150,150,FE_Results_Case_150.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_151,151,FE_Results_Case_151.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_153,153,FE_Results_Case_153.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_154,154,FE_Results_Case_154.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_155,155,FE_Results_Case_155.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_156,156,FE_Results_Case_156.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_157,157,FE_Results_Case_157.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_158,158,FE_Results_Case_158.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_159,159,FE_Results_Case_159.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_163,163,FE_Results_Case_163.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_164,164,FE_Results_Case_164.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_165,165,FE_Results_Case_165.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_166,166,FE_Results_Case_166.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_169,169,FE_Results_Case_169.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_170,170,FE_Results_Case_170.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_171,171,FE_Results_Case_171.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_173,173,FE_Results_Case_173.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_175,175,FE_Results_Case_175.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_176,176,FE_Results_Case_176.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_179,179,FE_Results_Case_179.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_180,180,FE_Results_Case_180.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_181,181,FE_Results_Case_181.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_182,182,FE_Results_Case_182.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_183,183,FE_Results_Case_183.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_184,184,FE_Results_Case_184.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_185,185,FE_Results_Case_185.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_186,186,FE_Results_Case_186.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_187,187,FE_Results_Case_187.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_188,188,FE_Results_Case_188.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_189,189,FE_Results_Case_189.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_190,190,FE_Results_Case_190.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_191,191,FE_Results_Case_191.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_192,192,FE_Results_Case_192.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_193,193,FE_Results_Case_193.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_194,194,FE_Results_Case_194.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_195,195,FE_Results_Case_195.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_196,196,FE_Results_Case_196.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_197,197,FE_Results_Case_197.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_199,199,FE_Results_Case_199.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
case_200,200,FE_Results_Case_200.txt,400360,400360,0,400359,True,derived_from_exported_xy,,,0,0
