case_id,split,rmse_v11,p95_relative_error_v11,p99_relative_error_v11,p99_underprediction_fraction_v11,top1pct_hotspot_overlap_v11,top1_recall_in_predicted_top5_v11,top5_actual_bias_v11,rmse_v13,p95_relative_error_v13,p99_relative_error_v13,p99_underprediction_fraction_v13,top1pct_hotspot_overlap_v13,top1_recall_in_predicted_top5_v13,top5_actual_bias_v13,delta_rmse_v13_minus_v11,delta_p95_relative_error_v13_minus_v11,delta_p99_relative_error_v13_minus_v11,delta_p99_underprediction_fraction_v13_minus_v11,delta_top1pct_hotspot_overlap_v13_minus_v11,delta_top1_recall_in_predicted_top5_v13_minus_v11,delta_top5_actual_bias_v13_minus_v11,flag_p99_underprediction_above_10pct,flag_p99_relative_error_above_15pct,flag_top1_overlap_below_60pct,flag_p95_relative_error_above_15pct,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max
case_13,train,1.6982347791522823,0.001200995833048263,0.18575249515144573,0.18575249515144573,0.6071428571428571,0.8688811188811189,-2.2935329667607687,1.9163640358619263,0.08261356709139502,0.08296324756585545,0.08296324756585545,0.6371128871128872,0.9080919080919081,-1.4879335402951888,0.218129256709644,0.08141257125834675,-0.10278924758559028,-0.10278924758559028,0.029970029970030065,0.03921078921078924,0.8055994264655799,False,False,False,False,3.357408046722412,0.3732822239398956,2.742722988128662,4.221428871154785,5.116156101226807,385.4025268554688,19.127836227416992,344.8303527832031,425.37994384765625,447.6676330566406,0.356633573770523,0.0537875443696975,0.2708219885826111,0.4923129975795746,0.6152369976043701
case_191,train,1.5124229534135702,0.003920332811575111,0.1864249575532387,0.1864249575532387,0.5929070929070929,0.8721278721278721,-2.0977752075870955,1.7038880968153645,0.08037139121092185,0.08208824439967852,0.08208824439967852,0.6253746253746254,0.9050949050949051,-1.3656642431337176,0.1914651434017942,0.07645105839934674,-0.10433671315356019,-0.10433671315356019,0.032467532467532534,0.03296703296703296,0.7321109644533779,False,False,False,False,3.413191318511963,0.4003863930702209,2.765328884124756,4.352011203765869,5.165470123291016,368.427490234375,13.19227123260498,347.1741638183594,400.60540771484375,431.28509521484375,0.3589784801006317,0.0514899753034114,0.2801789939403534,0.49720299243927,0.5972200036048889
case_130,train,1.442434419782496,0.002541719430844812,0.18454753227438242,0.18454753227438242,0.5584415584415584,0.8508991008991009,-1.9909907401611049,1.6262866435604282,0.08272591064590268,0.08089662127713365,0.08089662127713365,0.5901598401598401,0.8841158841158842,-1.3077637492558642,0.1838522237779321,0.08018419121505786,-0.10365091099724877,-0.10365091099724877,0.03171828171828173,0.03321678321678323,0.6832269909052406,False,False,True,False,3.4111592769622803,0.3980726897716522,2.760498046875,4.338098049163818,5.166117191314697,364.0472412109375,13.173166275024414,345.1440124511719,394.9378051757813,431.9494323730469,0.3154884874820709,0.0397419370710849,0.258228987455368,0.405894011259079,0.6167100071907043
case_156,train,1.5587609007008763,0.009236895245462296,0.185157391318116,0.185157391318116,0.5611888111888111,0.8551448551448552,-2.160406211145824,1.7546126603775818,0.07575760298795124,0.08005227650560269,0.08005227650560269,0.5919080919080919,0.8856143856143857,-1.421464749898164,0.19585175967670554,0.06652070774248894,-0.10510511481251332,-0.10510511481251332,0.03071928071928076,0.030469530469530492,0.7389414612476599,False,False,True,False,3.3987786769866943,0.404140830039978,2.755202054977417,4.339728832244873,5.1631388664245605,366.6425476074219,14.302489280700684,345.4393920898437,399.6999206542969,436.9097290039063,0.3444415628910064,0.0525996312499046,0.2730169892311096,0.4676519930362701,0.6353330016136169
case_69,train,1.779708689100217,0.004934072170052755,0.1806484944098907,0.1806484944098907,0.6081418581418582,0.8741258741258742,-2.382162617887344,2.025013941348894,0.08798942684770246,0.07707617467827611,0.07707617467827611,0.6418581418581418,0.9118381618381618,-1.5158622282402099,0.24530525224867694,0.0830553546776497,-0.10357231973161458,-0.10357231973161458,0.03371628371628366,0.03771228771228763,0.8663003896471342,False,False,False,False,3.414844036102295,0.3967931568622589,2.773071050643921,4.331756114959717,5.16845703125,382.49993896484375,19.06673622131348,347.4131774902344,424.4466552734375,445.9034423828125,0.3441344201564789,0.0483309514820575,0.2652490139007568,0.448743999004364,0.6285290122032166
case_121,train,1.468533759011497,0.018572284493000746,0.17968512706365486,0.17968512706365486,0.5896603396603397,0.8743756243756243,-1.9341193294803898,1.6466001933731735,0.10311545333857881,0.07707006441633413,0.07707006441633413,0.6228771228771228,0.9073426573426573,-1.2132750077860848,0.17806643436167646,0.08454316884557807,-0.10261506264732073,-0.10261506264732073,0.03321678321678312,0.03296703296703296,0.720844321694305,False,False,False,False,3.406583786010742,0.4022997617721557,2.744326114654541,4.340972900390625,5.162074089050293,368.9012756347656,12.318378448486328,349.80499267578125,401.7388916015625,427.1482543945313,0.3489417731761932,0.0595775060355663,0.2658120095729828,0.4907250106334686,0.6414560079574585
case_97,train,1.8407251125656903,0.0009437803632674764,0.18060593309969203,0.18060593309969203,0.6071428571428571,0.8751248751248751,-2.4907718980609688,2.086751264492381,0.08252459523588235,0.07607150319959313,0.07607150319959313,0.6416083916083916,0.9125874125874126,-1.5976177189510432,0.24602615192669064,0.08158081487261487,-0.1045344299000989,-0.1045344299000989,0.034465534465534464,0.03746253746253747,0.8931541791099256,False,False,False,False,3.3956286907196045,0.4038839638233185,2.7539379596710205,4.331124782562256,5.162418842315674,385.0579528808594,18.142024993896484,349.3227844238281,424.7047424316406,445.8406066894531,0.3635185360908508,0.0565620250999927,0.2800189852714538,0.4960069954395294,0.651669979095459
case_187,train,1.5498140286780302,0.009830134313914747,0.18139784154502583,0.18139784154502583,0.5759240759240759,0.8678821178821179,-2.041315091871026,1.7389705632959804,0.09738172108596277,0.07464040271038352,0.07464040271038352,0.6081418581418582,0.8961038961038961,-1.306927241584593,0.18915653461795023,0.08755158677204802,-0.10675743883464231,-0.10675743883464231,0.032217782217782265,0.028221778221778182,0.7343878502864329,False,False,False,False,3.3984994888305664,0.4044046103954315,2.7548420429229736,4.339259147644043,5.162806987762451,368.3010864257813,13.983709335327148,346.3468322753906,400.6207580566406,435.3990783691406,0.3873427212238312,0.0514682717621326,0.279583990573883,0.4945510029792785,0.658827006816864
case_188,train,1.4853976215406899,0.022969491445647347,0.1767531859842382,0.1767531859842382,0.5964035964035964,0.8761238761238761,-1.94608366282325,1.6738088636246824,0.1078111397439111,0.07393995200428222,0.07393995200428222,0.6288711288711288,0.9085914085914086,-1.2102868487173588,0.18841124208399251,0.08484164829826375,-0.10281323397995598,-0.10281323397995598,0.03246753246753242,0.032467532467532534,0.7357968141058913,False,False,False,False,3.424635410308838,0.3976042568683624,2.7522809505462646,4.347849845886231,5.168691158294678,369.7333984375,12.921147346496582,349.2569885253906,403.5959777832031,433.4514465332031,0.3489305078983307,0.0596411786973476,0.259889006614685,0.4873859882354736,0.6433979868888855
case_193,train,1.3728887672690515,0.011640761071329692,0.17678506797435106,0.17678506797435106,0.6021478521478522,0.8723776223776224,-1.822930080047949,1.5415876816989071,0.09637839756509559,0.07306815130807676,0.07306815130807676,0.6323676323676324,0.9103396603396603,-1.1442837830036303,0.16869891442985563,0.0847376364937659,-0.1037169166662743,-0.1037169166662743,0.030219780219780223,0.0379620379620379,0.6786462970443188,False,False,False,False,3.4327430725097656,0.3979721069335937,2.759643077850342,4.358067989349365,5.172543048858643,366.6557312011719,11.779062271118164,349.3851013183594,394.5610046386719,432.6336975097656,0.3520005941390991,0.0502255260944366,0.2711049914360046,0.4825739860534668,0.5892620086669922
case_139,train,1.5273299935625964,0.0028156311002085358,0.17854858474838461,0.17854858474838461,0.5741758241758241,0.8626373626373627,-2.0944422259047886,1.7263743137626157,0.08313075896328218,0.07201810066206635,0.07201810066206635,0.6046453546453546,0.8953546453546454,-1.3424705527566207,0.1990443202000194,0.08031512786307364,-0.10653048408631827,-0.10653048408631827,0.030469530469530492,0.03271728271728269,0.7519716731481678,False,False,False,False,3.4313390254974365,0.3979701697826385,2.763916015625,4.357687950134277,5.172056198120117,365.51373291015625,14.265096664428713,345.22979736328125,399.0341796875,434.3859252929688,0.3571951985359192,0.0526477210223674,0.2721970081329345,0.4944460093975067,0.6032469868659973
case_99,train,1.2392547769464142,0.007289804742559981,0.17731490205810796,0.17731490205810796,0.6078921078921079,0.8496503496503497,-1.531807988654125,1.3727146422426824,0.07534961260527741,0.07176240434093943,0.07176240434093943,0.6176323676323676,0.8956043956043956,-1.0264035167288845,0.1334598652962682,0.06805980786271743,-0.10555249771716853,-0.10555249771716853,0.009740259740259716,0.04595404595404595,0.5054044719252404,False,False,False,False,3.2034356594085693,0.2735406458377838,2.7578489780426025,3.818567991256714,5.07814884185791,388.10498046875,18.422473907470703,346.7793273925781,426.9716491699219,448.0140380859375,0.363998681306839,0.0566882155835628,0.2810199856758117,0.4999220073223114,0.6507390141487122
case_77,train,1.3378318848274064,0.01977227635991401,0.17393914223736087,0.17393914223736087,0.6088911088911089,0.8598901098901099,-1.6925258557861664,1.5163459252533262,0.1049176069838049,0.07108244838505631,0.07108244838505631,0.6351148851148851,0.9015984015984015,-1.0530113615232786,0.17851404042591978,0.08514533062389089,-0.10285669385230456,-0.10285669385230456,0.02622377622377625,0.0417082917082916,0.6395144942628879,False,False,False,False,3.3737595081329346,0.3044011890888214,2.7823760509490967,4.057146072387695,5.099134922027588,382.7502746582031,18.993059158325195,347.437255859375,424.6549377441406,445.9133605957031,0.357508510351181,0.0517014302313327,0.2759450078010559,0.4952700138092041,0.5917149782180786
