split,model,criterion,rank,case_id,value,rmse,actual_p99,predicted_p99,actual_max,predicted_max,prediction_abs_max_ratio,top1pct_hotspot_overlap
internal_test,v11_current_gain_1_00,p99_underprediction_fraction,2,case_189,0.2025134563308781,1.7538434755526757,12.753865308761585,10.171035963505794,29.364471435546875,21.23599068542112,0.7231865464370013,0.46853146853146854
internal_test,v11_current_gain_1_00,p99_underprediction_fraction,3,case_191,0.200748853308181,1.7743571912565084,13.111052494049055,10.47902374020534,29.264482498168945,21.743443402702272,0.7429977073424326,0.4805194805194805
internal_test,v11_current_gain_1_00,p99_underprediction_fraction,4,case_139,0.19279337552319958,1.7883628579027235,13.217778148651119,10.669478082455882,29.612136840820312,22.217831769422904,0.7502947824689111,0.46003996003996006
internal_test,v11_current_gain_1_00,p99_underprediction_fraction,5,case_192,0.18826952479315956,1.7568063733427037,12.946696014404287,10.509227708130899,29.42413902282715,21.83602372068998,0.7421125798702102,0.46528471528471527
internal_test,v11_current_gain_1_00,max_relative_error,1,case_189,0.2768134535629987,1.7538434755526757,12.753865308761585,10.171035963505794,29.364471435546875,21.23599068542112,0.7231865464370013,0.46853146853146854
internal_test,v11_current_gain_1_00,max_relative_error,2,case_116,0.2688873398776664,2.1103047403504087,15.341071567535392,12.519400933969031,35.28178024291992,25.794956207252778,0.7311126601223336,0.516983016983017
internal_test,v11_current_gain_1_00,max_relative_error,3,case_157,0.2598464410913613,1.6156097567992869,11.7065015220642,9.557473276448775,26.843324661254883,19.86818228096783,0.7401535589086387,0.4975024975024975
internal_test,v11_current_gain_1_00,max_relative_error,4,case_192,0.2578874201297898,1.7568063733427037,12.946696014404287,10.509227708130899,29.42413902282715,21.83602372068998,0.7421125798702102,0.46528471528471527
internal_test,v11_current_gain_1_00,max_relative_error,5,case_191,0.25700229265756735,1.7743571912565084,13.111052494049055,10.47902374020534,29.264482498168945,21.743443402702272,0.7429977073424326,0.4805194805194805
internal_test,v11_current_gain_1_00,top1pct_hotspot_overlap,1,case_139,0.46003996003996006,1.7883628579027235,13.217778148651119,10.669478082455882,29.612136840820312,22.217831769422904,0.7502947824689111,0.46003996003996006
internal_test,v11_current_gain_1_00,top1pct_hotspot_overlap,2,case_192,0.46528471528471527,1.7568063733427037,12.946696014404287,10.509227708130899,29.42413902282715,21.83602372068998,0.7421125798702102,0.46528471528471527
internal_test,v11_current_gain_1_00,top1pct_hotspot_overlap,3,case_189,0.46853146853146854,1.7538434755526757,12.753865308761585,10.171035963505794,29.364471435546875,21.23599068542112,0.7231865464370013,0.46853146853146854
internal_test,v11_current_gain_1_00,top1pct_hotspot_overlap,4,case_133,0.4805194805194805,1.7165746288985713,12.81892926216123,10.45313922362191,28.935829162597656,21.629991121800394,0.7475158565616374,0.4805194805194805
internal_test,v11_current_gain_1_00,top1pct_hotspot_overlap,5,case_191,0.4805194805194805,1.7743571912565084,13.111052494049055,10.47902374020534,29.264482498168945,21.743443402702272,0.7429977073424326,0.4805194805194805
internal_test,v11_mean_calibrated_v10,rmse,1,case_95,2.4262167865594453,2.4262167865594453,16.617831211090085,14.72896829556392,34.6576042175293,30.399487000918995,0.8771375773730888,0.5084915084915085
internal_test,v11_mean_calibrated_v10,rmse,2,case_48,2.3370954508354305,2.3370954508354305,16.89704576492309,13.545084859351132,36.57381820678711,28.331987214705784,0.7746521583969632,0.44405594405594406
internal_test,v11_mean_calibrated_v10,rmse,3,case_68,2.270784330286509,2.270784330286509,14.204864883422841,13.564196275580443,30.399791717529297,27.505909310180257,0.9048058475453188,0.5117382617382618
internal_test,v11_mean_calibrated_v10,rmse,4,case_52,2.1924088122960375,2.1924088122960375,15.024835319519037,12.442833421747881,33.935302734375,25.523774215274507,0.7521304411237806,0.46378621378621376
internal_test,v11_mean_calibrated_v10,rmse,5,case_67,2.142386104244128,2.142386104244128,15.007321405410755,12.386128767093812,33.35513687133789,25.358132439455243,0.7602466911549542,0.4582917082917083
internal_test,v11_mean_calibrated_v10,p99_underprediction_fraction,1,case_189,0.23295383830222735,1.735158581261862,12.753865308761585,9.782803431895951,29.364471435546875,20.427799502147302,0.695663790406887,0.4230769230769231
internal_test,v11_mean_calibrated_v10,p99_underprediction_fraction,2,case_182,0.23286174108905083,1.687460754028222,12.821896562576253,9.83616740495103,27.602649688720703,20.183213138180037,0.7312056402479188,0.44280719280719283
internal_test,v11_mean_calibrated_v10,p99_underprediction_fraction,3,case_191,0.23109921838220396,1.7641080666859812,13.111052494049055,10.081098510506273,29.264482498168945,20.919634532622364,0.7148472396165314,0.4353146853146853
internal_test,v11_mean_calibrated_v10,p99_underprediction_fraction,4,case_139,0.2235887960137453,1.7719812940059008,13.217778148651119,10.262431046417424,29.612136840820312,21.371096889676522,0.7217005987969257,0.4175824175824176
internal_test,v11_mean_calibrated_v10,p99_underprediction_fraction,5,case_192,0.2192794325084964,1.7422824118361766,12.946696014404287,10.107751859505703,29.42413902282715,21.004847661459653,0.7138644785889627,0.4210789210789211
internal_test,v11_mean_calibrated_v10,max_relative_error,1,case_189,0.30433620959311297,1.735158581261862,12.753865308761585,9.782803431895951,29.364471435546875,20.427799502147302,0.695663790406887,0.4230769230769231
internal_test,v11_mean_calibrated_v10,max_relative_error,2,case_116,0.2965239322672106,2.102664512663129,15.341071567535392,12.051034284584269,35.28178024291992,24.819888027901726,0.7034760677327894,0.4645354645354645
internal_test,v11_mean_calibrated_v10,max_relative_error,3,case_157,0.28774526099190295,1.5980627232461886,11.7065015220642,9.199198573322496,26.843324661254883,19.119285200711712,0.7122547390080971,0.4478021978021978
internal_test,v11_mean_calibrated_v10,max_relative_error,4,case_192,0.28613552141103726,1.7422824118361766,12.946696014404287,10.107751859505703,29.42413902282715,21.004847661459653,0.7138644785889627,0.4210789210789211
internal_test,v11_mean_calibrated_v10,max_relative_error,5,case_191,0.28515276038346865,1.7641080666859812,13.111052494049055,10.081098510506273,29.264482498168945,20.919634532622364,0.7148472396165314,0.4353146853146853
internal_test,v11_mean_calibrated_v10,top1pct_hotspot_overlap,1,case_139,0.4175824175824176,1.7719812940059008,13.217778148651119,10.262431046417424,29.612136840820312,21.371096889676522,0.7217005987969257,0.4175824175824176
internal_test,v11_mean_calibrated_v10,top1pct_hotspot_overlap,2,case_192,0.4210789210789211,1.7422824118361766,12.946696014404287,10.107751859505703,29.42413902282715,21.004847661459653,0.7138644785889627,0.4210789210789211
internal_test,v11_mean_calibrated_v10,top1pct_hotspot_overlap,3,case_189,0.4230769230769231,1.735158581261862,12.753865308761585,9.782803431895951,29.364471435546875,20.427799502147302,0.695663790406887,0.4230769230769231
internal_test,v11_mean_calibrated_v10,top1pct_hotspot_overlap,4,case_191,0.4353146853146853,1.7641080666859812,13.111052494049055,10.081098510506273,29.264482498168945,20.919634532622364,0.7148472396165314,0.4353146853146853
internal_test,v11_mean_calibrated_v10,top1pct_hotspot_overlap,5,case_133,0.4355644355644356,1.699761909663463,12.81892926216123,10.058656012447885,28.935829162597656,20.812843446863972,0.7192758614211953,0.4355644355644356
internal_test,v11_selected_gain_0.95,rmse,1,case_95,2.5037472284387237,2.5037472284387237,16.617831211090085,14.965491019383554,34.6576042175293,31.07778365246296,0.8967089432207285,0.5154845154845155
internal_test,v11_selected_gain_0.95,rmse,2,case_48,2.3532550882629053,2.3532550882629053,16.89704576492309,14.045163902333083,36.57381820678711,29.313911144768486,0.8014998865863181,0.495004995004995
internal_test,v11_selected_gain_0.95,rmse,3,case_68,2.3003325641244388,2.3003325641244388,14.204864883422841,13.47535864574927,30.399791717529297,28.139611890284883,0.9256514699756598,0.5392107892107892
internal_test,v11_selected_gain_0.95,rmse,4,case_52,2.2006602743526145,2.2006602743526145,15.024835319519037,12.88976218166304,33.935302734375,26.399826237113782,0.7779458000936558,0.516983016983017
internal_test,v11_selected_gain_0.95,rmse,5,case_16,2.155358713327962,2.155358713327962,15.720469598770103,13.135892108974147,34.04954528808594,27.297119839285664,0.8016882342577722,0.5002497502497503
internal_test,v11_selected_gain_0.95,p99_underprediction_fraction,1,case_182,0.20611786545674568,1.684007457021756,12.821896562576253,10.17907461199085,27.602649688720703,20.928231849458545,0.7581964806085435,0.48976023976023975
internal_test,v11_selected_gain_0.95,p99_underprediction_fraction,2,case_189,0.20529575022485544,1.7488744999154446,12.753865308761585,10.135550961932617,29.364471435546875,21.19558112625743,0.7218104086354957,0.4672827172827173
internal_test,v11_selected_gain_0.95,p99_underprediction_fraction,3,case_191,0.20334641251347343,1.7696984879527586,13.111052494049055,10.444967005108351,29.264482498168945,21.702252959198276,0.7415901839561375,0.48026973026973024
internal_test,v11_selected_gain_0.95,p99_underprediction_fraction,4,case_139,0.19549384706588,1.7832026594072978,13.217778148651119,10.633783848707987,29.612136840820312,22.175495025435588,0.7488650732853119,0.46003996003996006
internal_test,v11_selected_gain_0.95,p99_underprediction_fraction,5,case_192,0.19106514563328472,1.7518226104025851,12.946696014404287,10.473033654942265,29.42413902282715,21.79446491772846,0.7407001748061477,0.4647852147852148
internal_test,v11_selected_gain_0.95,max_relative_error,1,case_189,0.27818959136450433,1.7488744999154446,12.753865308761585,10.135550961932617,29.364471435546875,21.19558112625743,0.7218104086354957,0.4672827172827173
internal_test,v11_selected_gain_0.95,max_relative_error,2,case_116,0.27026916949714364,2.1050730509732785,15.341071567535392,12.478882523548622,35.28178024291992,25.746202798285225,0.7297308305028564,0.5154845154845155
internal_test,v11_selected_gain_0.95,max_relative_error,3,case_157,0.2612413820863885,1.6109543283647163,11.7065015220642,9.527979886162537,26.843324661254883,19.83073742695502,0.7387586179136115,0.49575424575424576
internal_test,v11_selected_gain_0.95,max_relative_error,4,case_192,0.25929982519385225,1.7518226104025851,12.946696014404287,10.473033654942265,29.42413902282715,21.79446491772846,0.7407001748061477,0.4647852147852148
internal_test,v11_selected_gain_0.95,max_relative_error,5,case_191,0.25840981604386243,1.7696984879527586,13.111052494049055,10.444967005108351,29.264482498168945,21.702252959198276,0.7415901839561375,0.48026973026973024
internal_test,v11_selected_gain_0.95,top1pct_hotspot_overlap,1,case_139,0.46003996003996006,1.7832026594072978,13.217778148651119,10.633783848707987,29.612136840820312,22.175495025435588,0.7488650732853119,0.46003996003996006
