case_id,stress_tier,selected_rows,target_loss_mass,actual_selected_loss_mass,q90,q95,q99,deployable_residual_rmse,negative_residual_fraction
case_89,p90_to_p95,750,0.15,0.15,8.03588161468506,9.501103210449216,14.831547985076902,0.7226442755211245,0.429
case_89,p95_to_p99,1000,0.2,0.2,8.03588161468506,9.501103210449216,14.831547985076902,0.7226442755211245,0.429
case_89,top_p99,250,0.05,0.049999999999999996,8.03588161468506,9.501103210449216,14.831547985076902,0.7226442755211245,0.429
case_91,below_p90,3000,0.6,0.6,9.551535987854004,10.791361618041991,16.847370262145986,0.8849043634923406,0.3894
case_91,p90_to_p95,750,0.15,0.15,9.551535987854004,10.791361618041991,16.847370262145986,0.8849043634923406,0.3894
case_91,p95_to_p99,1000,0.2,0.2,9.551535987854004,10.791361618041991,16.847370262145986,0.8849043634923406,0.3894
case_91,top_p99,250,0.05,0.049999999999999996,9.551535987854004,10.791361618041991,16.847370262145986,0.8849043634923406,0.3894
case_92,below_p90,3000,0.6,0.6,7.7384740829467775,8.626925182342527,13.86244007110595,0.9430418870461408,0.3666
case_92,p90_to_p95,750,0.15,0.15,7.7384740829467775,8.626925182342527,13.86244007110595,0.9430418870461408,0.3666
case_92,p95_to_p99,1000,0.2,0.2,7.7384740829467775,8.626925182342527,13.86244007110595,0.9430418870461408,0.3666
case_92,top_p99,250,0.05,0.049999999999999996,7.7384740829467775,8.626925182342527,13.86244007110595,0.9430418870461408,0.3666
case_94,below_p90,3000,0.6,0.6,6.6170741558074955,7.718307733535765,12.303719158172552,0.8233452982349866,0.4474
case_94,p90_to_p95,750,0.15,0.15,6.6170741558074955,7.718307733535765,12.303719158172552,0.8233452982349866,0.4474
case_94,p95_to_p99,1000,0.2,0.2,6.6170741558074955,7.718307733535765,12.303719158172552,0.8233452982349866,0.4474
case_94,top_p99,250,0.05,0.049999999999999996,6.6170741558074955,7.718307733535765,12.303719158172552,0.8233452982349866,0.4474
case_95,below_p90,3000,0.6,0.6,8.410765743255617,10.778055810928343,16.617831211090085,0.7867321989054498,0.4274
case_95,p90_to_p95,750,0.15,0.15,8.410765743255617,10.778055810928343,16.617831211090085,0.7867321989054498,0.4274
case_95,p95_to_p99,1000,0.2,0.2,8.410765743255617,10.778055810928343,16.617831211090085,0.7867321989054498,0.4274
case_95,top_p99,250,0.05,0.049999999999999996,8.410765743255617,10.778055810928343,16.617831211090085,0.7867321989054498,0.4274
case_96,below_p90,3000,0.6,0.6,6.657563495635986,7.780730009078979,12.240180082321166,0.720638291278139,0.5452
case_96,p90_to_p95,750,0.15,0.15,6.657563495635986,7.780730009078979,12.240180082321166,0.720638291278139,0.5452
case_96,p95_to_p99,1000,0.2,0.2,6.657563495635986,7.780730009078979,12.240180082321166,0.720638291278139,0.5452
case_96,top_p99,250,0.05,0.049999999999999996,6.657563495635986,7.780730009078979,12.240180082321166,0.720638291278139,0.5452
case_97,below_p90,3000,0.6,0.6,8.249234867095948,9.87625789642334,15.68950984954829,0.8613885581451248,0.3704
case_97,p90_to_p95,750,0.15,0.15,8.249234867095948,9.87625789642334,15.68950984954829,0.8613885581451248,0.3704
case_97,p95_to_p99,1000,0.2,0.2,8.249234867095948,9.87625789642334,15.68950984954829,0.8613885581451248,0.3704
case_97,top_p99,250,0.05,0.049999999999999996,8.249234867095948,9.87625789642334,15.68950984954829,0.8613885581451248,0.3704
case_99,below_p90,3000,0.6,0.6,5.001983404159547,5.963100194931029,9.452709732055656,0.826136274304307,0.3586
case_99,p90_to_p95,750,0.15,0.15,5.001983404159547,5.963100194931029,9.452709732055656,0.826136274304307,0.3586
