iteration,case_id,legacy_split,similarity_group,v12_signature_sha256,gain,tail_weighted_huber_loss,actual_p90,actual_p95,actual_p99,background_lt_p90_count,p90_p95_count,p95_p99_count,p99_plus_count,fluence_rate_mean,fluence_rate_std,fluence_rate_p95,temperature_mean,temperature_std,temperature_p95,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_p95,v10_case_scale,case_mean_correction_mpa,tail_correction_std_mpa,tail_correction_abs_max_mpa,n_elements,mae,rmse,r2,bias_predicted_minus_actual,top5_actual_rmse,top5_actual_bias,actual_mean,predicted_mean,predicted_p95,p95_relative_error,p95_underprediction_fraction,predicted_p99,p99_relative_error,p99_underprediction_fraction,actual_max,predicted_max,max_relative_error,prediction_abs_max_ratio,top5pct_hotspot_overlap,top1pct_hotspot_overlap,top1_recall_in_predicted_top5,negative_prediction_fraction,sum_absolute_error,sum_squared_error,actual_sum,actual_squared_sum
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.25,0.41499691354264884,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.85466312443682,2.3962746652641544,0.24302751672273915,-0.6639222817469715,3.9159745486436575,-0.6404843469732184,3.3097094398571456,2.645787158110174,8.642474923479982,0.0001872929316897743,0.0,15.489671074957043,0.0693784212230302,0.0,22.389339447021484,32.63671170488707,0.4576897984021954,1.4576897984021955,0.6555599960035967,0.527972027972028,0.9815184815184815,0.2068838045758817,742532.9284995252,2298920.076172434,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.275,0.41523308579834994,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.857837362316836,2.4009651125198843,0.24006123372021537,-0.6639222817469715,3.9209206870913658,-0.6236496926298729,3.3097094398571456,2.6457871581101733,8.657961232729518,0.0019795121585821254,0.0,15.502988735141487,0.07029784800449694,0.0,22.389339447021484,32.700349040083566,0.46053210356921825,1.4605321035692183,0.6556099510440604,0.525974025974026,0.9815184815184815,0.20816764911579577,743803.7663771685,2307928.6566648018,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.3,0.41555652359782846,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8613370332193468,2.406049640457066,0.23683917839504431,-0.6639222817469714,3.926300860653901,-0.6068150382865284,3.3097094398571456,2.645787158110174,8.670338656386631,0.003411942332888303,0.0,15.508024041155652,0.07064547627689505,0.0,22.389339447021484,32.76398637528006,0.46337440873624103,1.463374408736241,0.656009591367769,0.5257242757242757,0.9827672327672328,0.20927165551004095,745204.8946196977,2317714.0158914737,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.325,0.41596964918126056,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.865158251442227,2.4115257564049983,0.23336135074722608,-0.6639222817469715,3.9321132877063074,-0.5899803839431829,3.3097094398571456,2.645787158110174,8.690127257212696,0.005702062612827487,0.0,15.515859258058025,0.07118640525081926,0.0,22.389339447021484,32.827623710476566,0.46621671390326413,1.466216713903264,0.6563093216105506,0.5239760239760239,0.9837662337662337,0.21044559896093515,746734.75754741,2328276.1538524497,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.35,0.4164748107323633,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8692768183242354,2.4173907991719084,0.22962775077676023,-0.6639222817469714,3.9383560544237053,-0.5731457295998373,3.3097094398571456,2.6457871581101733,8.717151859201664,0.008829600007523036,0.0,15.5411382253953,0.07293161869340742,0.0,22.389339447021484,32.89126104567306,0.4690590190702869,1.469059019070287,0.6559096812868418,0.521978021978022,0.9842657342657343,0.21182435807773003,748383.6669842909,2339615.0705477307,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.375,0.41707394364225403,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.873697625370197,2.423641945232931,0.2256383784836471,-0.6639222817469715,3.9450271178471783,-0.5563110752564926,3.3097094398571456,2.645787158110174,8.732087194651026,0.010558055440068171,0.0,15.583513153208445,0.07585710582512081,0.0,22.389339447021484,32.95489838086956,0.4719013242373097,1.4719013242373098,0.6564092316914777,0.5162337662337663,0.984015984015984,0.21297582176041563,750153.581293212,2351730.7659773156,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.4,0.4177695686683955,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8784482649148138,2.4302762151901796,0.22139323386788667,-0.6639222817469714,3.952124309122598,-0.5394764209131471,3.3097094398571456,2.6457871581101733,8.759933191234488,0.013780652229574787,0.0,15.631158184695712,0.07914643122812112,0.0,22.389339447021484,33.05668173641204,0.47644738758961735,1.4764473875896174,0.6577580177839945,0.5127372627372627,0.9842657342657343,0.21414476970726345,752055.5473412948,2364623.2401412046,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.425,0.41856456589960533,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8835032937965355,2.4372904804723037,0.21689231692947897,-0.6639222817469714,3.9596453369008118,-0.5226417665698019,3.3097094398571456,2.645787158110174,8.779363090337469,0.016029260221823542,0.0,15.656425809204075,0.08089086158264912,0.0,22.389339447021484,33.17817601366982,0.48187382178814586,1.481873821788146,0.6580077929863123,0.5107392607392608,0.9847652347652348,0.21529873114197223,754079.378704381,2378292.4930393975,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.45,0.41946171007592314,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8888406642128404,2.4446814702406314,0.21213562766842364,-0.6639222817469715,3.967587790887218,-0.5058071122264572,3.3097094398571456,2.6457871581101733,8.806902707436409,0.01921639993798633,0.0,15.6633504163166,0.08136892373036987,0.0,22.389339447021484,33.299670290927594,0.4873002559866741,1.4873002559866741,0.6578579278649216,0.50999000999001,0.9845154845154845,0.21645269257668098,756216.2483242528,2392738.5246718954,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.475,0.42046361438742513,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.8944403415664586,2.4524457784689235,0.20712316608472126,-0.6639222817469715,3.9759491455284857,-0.4889724578831116,3.3097094398571456,2.6457871581101733,8.823574588246773,0.021145824493271386,0.0,15.677131315218606,0.08232033166147096,0.0,22.389339447021484,33.42116456818537,0.4927266901852023,1.4927266901852023,0.6581576581077031,0.5087412587412588,0.9845154845154845,0.21762913377959836,758458.1351495474,2407961.335038697,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.5,0.4215727189557392,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.900289987700531,2.4605798711639837,0.20185493217837147,-0.6639222817469714,3.9847267638238986,-0.47213780353976614,3.3097094398571456,2.6457871581101733,8.854420481911417,0.02471559717478426,0.0,15.688382028364611,0.08309706021842267,0.0,22.389339447021484,33.54265884544315,0.4981531243837308,1.498153124383731,0.6588570286741933,0.5074925074925075,0.9837662337662337,0.21867569187731042,760800.0994757846,2423960.924139803,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.525,0.42279036430311834,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.906388606283278,2.4690800936947874,0.19633092594937418,-0.6639222817469715,3.993917901248682,-0.4553031491964217,3.3097094398571456,2.645787158110174,8.868936281401087,0.0263955000179928,0.0,15.70188661890428,0.08402939232803885,0.0,22.389339447021484,33.664153122700924,0.5035795585822591,1.5035795585822591,0.6591567589169747,0.5062437562437563,0.984015984015984,0.21956988710160855,763241.7424115732,2440737.291975213,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.55,0.4241170079627653,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.912753342254644,2.477942678198494,0.19055114739772983,-0.6639222817469714,4.003519709776546,-0.438468494853076,3.3097094398571456,2.6457871581101733,8.894153869822063,0.029313913055966073,0.0,15.711654871332279,0.08470377452176077,0.0,22.389339447021484,33.785647399958705,0.5090059927807876,1.5090059927807875,0.6585572984314118,0.5054945054945055,0.9847652347652348,0.22051903287041663,765789.9281050693,2458290.438544927,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.575,0.4255529719012577,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.9193919309023875,2.4871637510325613,0.18451559652343785,-0.6639222817469715,4.013529241988686,-0.42163384050973046,3.3097094398571456,2.6457871581101733,8.919417127816542,0.03223761140023147,0.0,15.726946825499773,0.08575950293109343,0.0,22.389339447021484,33.90714167721648,0.5144324269793158,1.514432426979316,0.6575581976221401,0.5042457542457542,0.9847652347652348,0.22148066739934058,768447.7534560799,2476620.363848946,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.6,0.4270981460921014,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.9263067517919794,2.496739340243263,0.1782242733264986,-0.6639222817469714,4.023943455256509,-0.40479918616638527,3.3097094398571456,2.6457871581101733,8.948703491822565,0.035626900856590246,0.0,15.740632242108138,0.08670431894013658,0.0,22.389339447021484,34.028635954474254,0.5198588611778441,1.519858861177844,0.657807972824458,0.5037462537462537,0.9845154845154845,0.22236736936756918,771216.1711474368,2495727.067887269,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.625,0.42875165077592253,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.9335054785581676,2.506665383022142,0.17167717780691205,-0.6639222817469715,4.034759215985448,-0.3879645318230404,3.3097094398571456,2.6457871581101733,8.96873548167524,0.037945188370314985,0.0,15.756803420958642,0.08782074740558192,0.0,22.389339447021484,34.150130231732035,0.5252852953763726,1.5252852953763725,0.6582076131481667,0.5027472527472527,0.9845154845154845,0.2232166050554501,774098.253395548,2515610.550659896,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.65,0.43051291201409936,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.940990201864894,2.516937733123307,0.1648743099646781,-0.6639222817469714,4.045973303907447,-0.3711298774796951,3.3097094398571456,2.645787158110174,8.992164226556907,0.04065657985567734,0.0,15.760648190881719,0.08808618325443951,0.0,22.389339447021484,34.27162450898981,0.5307117295749008,1.5307117295749009,0.6587071635528025,0.5024975024975025,0.985014985014985,0.22408082725547007,777094.837218629,2536270.8121668273,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.675,0.4323811686982467,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.9487469580334937,2.527552168216001,0.1578156697997969,-0.6639222817469715,4.057582416409846,-0.3542952231363497,3.3097094398571456,2.6457871581101733,9.009599543629006,0.04267435633037339,0.0,15.770891237098885,0.08879334433870147,0.0,22.389339447021484,34.393118786247584,0.536138163773429,1.536138163773429,0.658757118593266,0.500999000999001,0.985014985014985,0.22484513937456288,780200.3321182895,2557707.8524080627,1325075.2713412067,7422607.059131721
1,case_66,internal_test,group_052,ec47276df49b70d2b8ed70c74d311c463ee0ee3bc2525fe26bfedf2f3fb467ed,0.7,0.4343557020479361,6.3177044868469245,8.640856552124024,14.484742507934437,360324,20018,16014,4004,4.957562446594238,0.2692562043666839,5.1825032234191895,385.6255798339844,19.089977264404297,426.7341918945313,0.3400048613548279,0.0304559022188186,0.415477991104126,5.924408740627714,-0.3517476388207105,1.245857345018574,9.56276889535906,400360,1.9567725465792731,2.538504397148466,0.15050125731226827,-0.6639222817469715,4.069583172888767,-0.33746056879300484,3.3097094398571456,2.645787158110174,9.025625769688618,0.044529059734247464,0.0,15.787694734993162,0.08995342694873557,0.0,22.389339447021484,34.514613063505365,0.5415645979719576,1.5415645979719577,0.6581077030672395,0.5,0.985014985014985,0.225696872814467,783413.4567484778,2579921.6713836025,1325075.2713412067,7422607.059131721
