case_id,case_number,n_elements,stress_mean,stress_std,stress_min,stress_p50,stress_p95,stress_p99,stress_max,negative_stress_fraction,fluence_rate_mean,fluence_rate_std,fluence_rate_min,fluence_rate_p95,fluence_rate_max,temperature_mean,temperature_std,temperature_min,temperature_p95,temperature_max,weight_loss_rate_mean,weight_loss_rate_std,weight_loss_rate_min,weight_loss_rate_p95,weight_loss_rate_max,rho_mean,rho_std,rho_min,rho_p95,rho_max,rho_normalized_mean,rho_normalized_std,rho_normalized_min,rho_normalized_p95,rho_normalized_max,theta_mean,theta_std,theta_min,theta_p95,theta_max,z_mean,z_std,z_min,z_p95,z_max
case_20,20,400360,5.788521283557299,3.186473929393584,-2.904052,6.07803,10.1491031,16.289631819999954,36.2668,0.05497052652612649,3.437698283984413,0.3961823074718879,2.758385,4.357462,5.164716,386.2499527597762,18.953423360841803,346.952972,428.450775,446.967499,0.35694004657807976,0.053173526054223985,0.272313,0.492059,0.610954,187.4096981366159,17.37145568097818,130.11120577905618,212.40378022513275,223.04074802728456,0.6165799483280258,0.18693146722466877,0.0,0.8855372840023366,1.0,0.3441862191893466,0.14121210522879946,0.007521325018756119,0.5587304276191081,0.7734903184685153,443.4354079419672,256.96781378052646,1.780566,842.61957105,885.481934
case_21,21,400360,4.529992943805574,2.43098163222738,-2.33561,4.6619615,8.02169455,12.291291759999956,23.241692,0.05070186831851334,3.7922606410230775,0.33545798821757583,2.910608,4.532018,5.199544,380.0528757337596,17.622686251585723,346.175262,418.720673,438.109741,0.3040465071036067,0.03468087837031126,0.271156,0.373466,0.645199,187.46679479470717,17.375021905923354,130.20029456447617,212.45607754689192,223.09042559502225,0.6164971412452783,0.18704916995121615,0.0,0.8855169227328,1.0,0.3441921879405467,0.14115697972107658,0.007524068611177698,0.5585457469893588,0.7734854088187478,443.2418029795611,256.9589518142688,1.759475,842.406372,885.17804
case_22,22,400360,5.651035436791887,2.9967192258658497,-3.074466,5.835495,9.714675249999997,14.749980679999965,30.03142,0.053262064142271956,3.4392846225996605,0.4003630174403746,2.755073,4.340705,5.188552,446.5657213099611,13.250029482193513,356.364044,450.972198,451.841248,0.27303000725347193,0.03582036002263561,0.259065,0.347037,0.63652,187.44251845455187,17.365226559614673,130.14689943595246,212.4092801793847,223.1549260358486,0.6160287570133582,0.18670675203460405,0.0,0.8844653924043594,1.0,0.3441264960083588,0.14111096167139958,0.007526570878159216,0.5582856406455066,0.7734821190601827,443.19465302263217,256.87838571300284,1.753429,842.2713071,884.923645
case_23,23,400360,1.2989331539389553,0.7224185661683652,-1.129254,1.333761,2.32110575,3.6403850699999993,8.488296,0.05211309821160955,3.075800532081127,0.22656603749283008,2.74838,3.606639,5.078251,365.9365599017883,13.025677950606656,345.03064,396.129517,431.975891,0.4425824847836948,0.04900438234806651,0.293194,0.526744,0.666102,186.9328892774571,17.39244569957909,129.66211680456078,211.94985099954033,222.29374016891887,0.6182637245557809,0.18775926695322476,0.0,0.888333068193226,1.0,0.34452330665320163,0.14137262893096675,0.007519278868838426,0.5590490043497947,0.7735116052967492,441.83355864242174,256.5191724765506,1.350814,840.266663,882.302612
case_24,24,400360,5.304625899425515,2.8360368557102853,-2.740317,5.538913,9.102337549999998,14.599398799999967,27.871834,0.051773403936457185,3.4139649612748526,0.3982802370993739,2.760169,4.319551,5.173142,386.14378801384765,19.015245805230396,347.04834,428.412079,447.129486,0.29689479382555706,0.03347760772823705,0.259235,0.357154,0.640999,187.39598242667677,17.377626081209673,130.15016303179155,212.40707872739037,222.98233429126765,0.6166592746697352,0.18719400661907717,0.0,0.8860819970016829,1.0,0.3442431957227302,0.14124114505199192,0.007522512972148932,0.558909641366344,0.7734916831038421,443.21631454641323,256.9671525615679,1.768282,842.38275405,885.200134
case_26,26,400360,1.8806184682485765,1.1937147761244464,-1.453397,1.8188870000000001,3.9574745999999994,5.851797439999998,12.496564,0.0449595364172245,3.660915607693077,0.19822726839586932,2.888137,4.063336,5.142048,392.06747175803804,17.732149572908522,349.644409,423.915619,447.274506,0.273684193765611,0.03564811458235786,0.259022,0.345787,0.629668,187.0436906066538,17.37528057086715,129.98173214378525,212.01477273844512,222.40734378919058,0.6173825355009729,0.18799205395067475,0.0,0.8875574544140754,1.0,0.3443478651780379,0.14129299171012288,0.007524363173208849,0.5590371590652425,0.7734946591931522,442.2476655019958,256.6440877966166,1.697583,840.87567405,883.141357
case_27,27,400360,4.916951871101009,2.5798938040636945,-2.546501,5.179615500000001,8.1130173,13.111590239999993,27.218611,0.052527725047457285,3.4656831429113795,0.40561709291433357,2.761383,4.414574,5.186887,385.16379896403225,19.54303780220826,346.278168,427.746368,446.623016,0.5838102836247379,0.013321515039792288,0.388904,0.611661,0.692514,187.46057074931912,17.34349981478609,130.10055383518218,212.4118192980309,223.27023254028728,0.6156511185971699,0.1861496149372873,0.0,0.8834555040527212,1.0,0.34403490236107787,0.14109437730008842,0.0075245988789585955,0.558174921952832,0.7734765720591694,443.5822983890124,256.98637470428866,1.778336,842.8259340999999,885.916504
case_28,28,400360,5.526686643625737,3.0371410594517556,-2.923548,5.687355500000001,9.724851749999997,15.672686489999926,36.075844,0.054218703167149565,3.4448088272354873,0.4001663122099355,2.76039,4.344238,5.18863,388.1787385560595,18.41697808822229,346.852417,427.000244,447.947968,0.4003789268058745,0.05028076574854857,0.283914,0.501225,0.660391,187.40218853566373,17.365799341668943,130.100025300534,212.38045290990794,223.17988443815432,0.6156236565679304,0.18656881845935425,0.0,0.8839767095878475,1.0,0.3441500799812428,0.14119750018664612,0.007522035801628853,0.558640693991787,0.7734869500053118,443.5302761043261,256.93569422100677,1.785596,842.69324005,885.739258
case_29,29,400360,2.033673969140274,1.1217530463985834,-1.644327,2.1435625,3.5024187999999996,5.442594619999995,12.888185,0.0517958837046658,3.1236890673593773,0.2309203584107396,2.755556,3.676457,5.082415,392.5955265492656,17.60016330339171,350.008575,424.343292,447.326111,0.31461934311119977,0.028161438162949384,0.282289,0.371442,0.605927,186.94484576832915,17.384544653783546,129.7861740447799,211.94251099535282,222.28465993888668,0.6179417011104923,0.18794409968705386,0.0,0.8881911542273929,1.0,0.34446014983993456,0.14137587218641592,0.0075208657377312,0.5590549129323319,0.7735069165496238,442.0037101838995,256.5707658132377,1.439718,840.512573,882.606018
case_31,31,400360,2.2515061615695875,2.1331415046861877,-1.584755,1.844895,6.1077444,11.439949749999982,18.300753,0.08700669397542211,4.229740827794984,0.16818292021943848,3.296232,4.480955,5.223758,446.71809085479055,13.909849110527041,355.083099,451.426239,452.48645,0.3592778347487262,0.0627281848486853,0.279733,0.50766,0.66255,187.66527757056215,17.405849906081045,130.3464298536026,212.69777457331875,223.15258762547174,0.6176190146547984,0.18755059280513606,0.0,0.8873478516603133,1.0,0.34421048449499464,0.14112004827763278,0.007527191362784665,0.5581199969727667,0.7734823953333709,443.67846924291126,257.274739833319,1.734674,843.31757515,885.66748
