case_id,case_number,feature,abs_spearman,spearman,abs_spearman_rank_score,abs_standardized_difference,standardized_difference,high_stress_rank_score,combined_case_sensitivity_score
case_65,65,temperature,0.29667077795843266,0.29667077795843266,0.9166666666666666,1.3066020926750046,1.3066020926750046,1.0,0.9583333333333333
case_65,65,theta,0.05979255863774583,0.05979255863774583,0.5,0.08011333738918368,-0.08011333738918368,0.16666666666666666,0.3333333333333333
case_65,65,theta_cos,0.05979255863774583,-0.05979255863774583,0.5,0.05152731552871894,-0.05152731552871894,0.08333333333333333,0.2916666666666667
case_65,65,theta_sin,0.05979255863774583,0.05979255863774583,0.5,0.10265267661417264,-0.10265267661417264,0.25,0.375
case_65,65,weight_loss_rate,0.35729118795868725,-0.35729118795868725,1.0,0.6379044904533934,-0.6379044904533934,0.75,0.875
case_65,65,z,0.07191288820837813,0.07191288820837813,0.6666666666666666,0.25326245237786216,0.25326245237786216,0.3333333333333333,0.5
case_66,66,distance_to_inner_proxy,0.34364029033424626,0.34364029033424626,0.7083333333333334,0.9583308392987514,0.9583308392987514,0.5833333333333334,0.6458333333333334
case_66,66,distance_to_outer_proxy,0.34364029033424626,-0.34364029033424626,0.7083333333333334,0.9583308392987523,-0.9583308392987523,0.75,0.7291666666666667
case_66,66,fluence_rate,0.48519976068388027,-0.48519976068388027,1.0,1.5952055077928677,-1.5952055077928677,1.0,1.0
case_66,66,param_field_magnitude_scaled,0.03682353573099383,-0.03682353573099383,0.16666666666666666,1.37715847243767,1.37715847243767,0.9166666666666666,0.5416666666666666
case_66,66,rho,0.34364029033424626,0.34364029033424626,0.7083333333333334,0.9583308392987497,0.9583308392987497,0.5,0.6041666666666667
case_66,66,rho_normalized,0.34364029033424626,0.34364029033424626,0.7083333333333334,0.9583308392987521,0.9583308392987521,0.6666666666666666,0.6875
case_66,66,temperature,0.35987372525160927,-0.35987372525160927,0.9166666666666666,0.9939264747562528,-0.9939264747562528,0.8333333333333334,0.875
case_66,66,theta,0.03983680157540555,0.03983680157540555,0.3333333333333333,0.12549946207475812,-0.12549946207475812,0.25,0.29166666666666663
case_66,66,theta_cos,0.03983680157540555,-0.03983680157540555,0.3333333333333333,0.016936868674125114,-0.016936868674125114,0.08333333333333333,0.20833333333333331
case_66,66,theta_sin,0.03983680157540555,0.03983680157540555,0.3333333333333333,0.14965387335526212,-0.14965387335526212,0.4166666666666667,0.375
case_66,66,weight_loss_rate,0.14891666967595163,-0.14891666967595163,0.5,0.06931549693905345,0.06931549693905345,0.16666666666666666,0.3333333333333333
case_66,66,z,0.00700512179670138,-0.00700512179670138,0.08333333333333333,0.1314158361730669,0.1314158361730669,0.3333333333333333,0.20833333333333331
case_67,67,distance_to_inner_proxy,0.05788157828499022,0.05788157828499022,0.4583333333333333,0.7837597149973177,-0.7837597149973177,0.7916666666666666,0.625
case_67,67,distance_to_outer_proxy,0.05788157828499022,-0.05788157828499022,0.4583333333333333,0.7837597149973177,0.7837597149973177,0.7916666666666666,0.625
case_67,67,fluence_rate,0.08471755145949211,0.08471755145949211,0.75,0.5986231568279424,0.5986231568279424,0.5833333333333334,0.6666666666666667
case_67,67,param_field_magnitude_scaled,0.4386118697679471,-0.4386118697679471,1.0,0.3261281439942477,-0.3261281439942477,0.3333333333333333,0.6666666666666666
case_67,67,rho,0.05788157828499022,0.05788157828499022,0.4583333333333333,0.7837597149973203,-0.7837597149973203,1.0,0.7291666666666666
case_67,67,rho_normalized,0.05788157828499022,0.05788157828499022,0.4583333333333333,0.7837597149973189,-0.7837597149973189,0.9166666666666666,0.6875
case_67,67,temperature,0.06691037811806247,-0.06691037811806247,0.6666666666666666,0.7281304409251629,0.7281304409251629,0.6666666666666666,0.6666666666666666
case_67,67,theta,0.0531565753947516,0.0531565753947516,0.16666666666666666,0.21395800723055636,0.21395800723055636,0.16666666666666666,0.16666666666666666
case_67,67,theta_cos,0.0531565753947516,-0.0531565753947516,0.16666666666666666,0.35437653244528966,-0.35437653244528966,0.4166666666666667,0.2916666666666667
