case_id,case_number,feature,target,pearson,spearman,abs_pearson,abs_spearman,n
case_117,117,theta_sin,sigma_max_principal,0.05995356144691483,0.04463578668040509,0.05995356144691483,0.04463578668040509,400360
case_117,117,theta_cos,sigma_max_principal,-0.05521569829604243,-0.04463578668040509,0.05521569829604243,0.04463578668040509,400360
case_117,117,temperature,sigma_max_principal,-0.21194599940723033,-0.0418714629942169,0.21194599940723033,0.0418714629942169,400360
case_117,117,fluence_rate,sigma_max_principal,-0.2604705194476261,0.03885980647879029,0.2604705194476261,0.03885980647879029,400360
case_118,118,weight_loss_rate,sigma_max_principal,-0.4051151830070953,-0.38494406984399976,0.4051151830070953,0.38494406984399976,400360
case_118,118,fluence_rate,sigma_max_principal,-0.5885349298721866,-0.3818271804325549,0.5885349298721866,0.3818271804325549,400360
case_118,118,temperature,sigma_max_principal,-0.3958865671764324,-0.2648844560203079,0.3958865671764324,0.2648844560203079,400360
case_118,118,rho,sigma_max_principal,0.3872672053497755,0.25567528423788644,0.3872672053497755,0.25567528423788644,400360
case_118,118,rho_normalized,sigma_max_principal,0.3872672053497758,0.25567528423788644,0.3872672053497758,0.25567528423788644,400360
case_118,118,distance_to_inner_proxy,sigma_max_principal,0.38726720534977593,0.25567528423788644,0.38726720534977593,0.25567528423788644,400360
case_118,118,distance_to_outer_proxy,sigma_max_principal,-0.38726720534977593,-0.25567528423788644,0.38726720534977593,0.25567528423788644,400360
case_118,118,param_field_magnitude_scaled,sigma_max_principal,0.0418605273655371,-0.046847486497662016,0.0418605273655371,0.046847486497662016,400360
case_118,118,theta,sigma_max_principal,-0.0037487318290422723,0.020038744846818817,0.0037487318290422723,0.020038744846818817,400360
case_118,118,theta_sin,sigma_max_principal,-0.006211846037543124,0.020038744846818817,0.006211846037543124,0.020038744846818817,400360
case_118,118,theta_cos,sigma_max_principal,-0.012564867540881843,-0.020038744846818817,0.012564867540881843,0.020038744846818817,400360
case_118,118,z,sigma_max_principal,0.02260224319422412,-0.005152600991583607,0.02260224319422412,0.005152600991583607,400360
case_119,119,param_field_magnitude_scaled,sigma_max_principal,-0.5449572291197152,-0.4562339038596975,0.5449572291197152,0.4562339038596975,400360
case_119,119,z,sigma_max_principal,0.18408187554706662,0.23918929168822523,0.18408187554706662,0.23918929168822523,400360
case_119,119,fluence_rate,sigma_max_principal,-0.18898696277030852,0.17983706576823127,0.18898696277030852,0.17983706576823127,400360
case_119,119,temperature,sigma_max_principal,-0.19020897458949582,0.052393015608642846,0.19020897458949582,0.052393015608642846,400360
case_119,119,weight_loss_rate,sigma_max_principal,-0.3889290721788181,-0.05087856832390678,0.3889290721788181,0.05087856832390678,400360
case_119,119,theta,sigma_max_principal,0.06697438505081081,0.049268001575876,0.06697438505081081,0.049268001575876,400360
case_119,119,theta_sin,sigma_max_principal,0.06719946158430672,0.049268001575876,0.06719946158430672,0.049268001575876,400360
case_119,119,theta_cos,sigma_max_principal,-0.06139969976051822,-0.049268001575876,0.06139969976051822,0.049268001575876,400360
case_119,119,rho,sigma_max_principal,0.16051437442300973,-0.025656598237360755,0.16051437442300973,0.025656598237360755,400360
case_119,119,rho_normalized,sigma_max_principal,0.1605143744230081,-0.025656598237360755,0.1605143744230081,0.025656598237360755,400360
case_119,119,distance_to_inner_proxy,sigma_max_principal,0.16051437442300986,-0.025656598237360755,0.16051437442300986,0.025656598237360755,400360
case_119,119,distance_to_outer_proxy,sigma_max_principal,-0.16051437442300998,0.025656598237360755,0.16051437442300998,0.025656598237360755,400360
case_120,120,param_field_magnitude_scaled,sigma_max_principal,-0.5322257809417779,-0.3738388776712092,0.5322257809417779,0.3738388776712092,400360
case_120,120,z,sigma_max_principal,0.15917768713481004,0.20238635272262293,0.15917768713481004,0.20238635272262293,400360
case_120,120,fluence_rate,sigma_max_principal,-0.20112815054832683,0.14141566132025396,0.20112815054832683,0.14141566132025396,400360
case_120,120,weight_loss_rate,sigma_max_principal,-0.3999593663401418,-0.11994838785103713,0.3999593663401418,0.11994838785103713,400360
case_120,120,theta,sigma_max_principal,0.06079181228163416,0.03700472953039146,0.06079181228163416,0.03700472953039146,400360
case_120,120,theta_sin,sigma_max_principal,0.06072854246981657,0.03700472953039146,0.06072854246981657,0.03700472953039146,400360
case_120,120,theta_cos,sigma_max_principal,-0.05735511366648776,-0.03700472953039146,0.05735511366648776,0.03700472953039146,400360
case_120,120,temperature,sigma_max_principal,-0.17776548972188735,-0.013899480584480888,0.17776548972188735,0.013899480584480888,400360
case_120,120,rho,sigma_max_principal,0.16491835563285798,-0.013715331529452495,0.16491835563285798,0.013715331529452495,400360
case_120,120,rho_normalized,sigma_max_principal,0.16491835563285842,-0.013715331529452495,0.16491835563285842,0.013715331529452495,400360
case_120,120,distance_to_inner_proxy,sigma_max_principal,0.16491835563285792,-0.013715331529452495,0.16491835563285792,0.013715331529452495,400360
case_120,120,distance_to_outer_proxy,sigma_max_principal,-0.16491835563285792,0.013715331529452495,0.16491835563285792,0.013715331529452495,400360
case_121,121,param_field_magnitude_scaled,sigma_max_principal,-0.5378263060180649,-0.4490683743766139,0.5378263060180649,0.4490683743766139,400360
case_121,121,z,sigma_max_principal,0.20963487477307136,0.26918125743706234,0.20963487477307136,0.26918125743706234,400360
