case_id,case_number,feature,target,high_stress_quantile,threshold,high_n,rest_n,high_mean,rest_mean,difference_high_minus_rest,standardized_difference,abs_standardized_difference,high_median,rest_median
case_26,26,rho_normalized,sigma_max_principal,0.95,3.9574745999999994,20018,380342,0.7113970699982061,0.6124344021063814,0.09896266789182462,0.48114531390763365,0.48114531390763365,0.668479337886282,0.6274923769018561
case_26,26,distance_to_inner_proxy,sigma_max_principal,0.95,3.9574745999999994,20018,380342,65.75130931733344,56.60462420737045,9.146685109962988,0.48114531390763265,0.48114531390763265,61.784611676455185,57.996366737983266
case_26,26,distance_to_outer_proxy,sigma_max_principal,0.95,3.9574745999999994,20018,380342,26.674302328071903,35.820987438034884,-9.14668510996298,-0.48114531390763227,0.48114531390763227,30.64099996895014,34.42924490742206
case_26,26,temperature,sigma_max_principal,0.95,3.9574745999999994,20018,380342,382.5966115869218,392.5659380828334,-9.96932649591156,-0.4693522273099761,0.4693522273099761,384.99534600000004,392.482666
case_26,26,z,sigma_max_principal,0.95,3.9574745999999994,20018,380342,478.85160756988705,440.3211422352646,38.53046533462248,0.15480042531403432,0.15480042531403432,478.585815,439.413513
case_26,26,theta_cos,sigma_max_principal,0.95,3.9574745999999994,20018,380342,0.9258314984534244,0.9322889889402235,-0.006457490486799111,-0.10139396984144514,0.10139396984144514,0.9558754053174633,0.9412869907596433
case_26,26,theta_sin,sigma_max_principal,0.95,3.9574745999999994,20018,380342,0.3221031276787691,0.33479596692985264,-0.012692839251083554,-0.08049871273103254,0.08049871273103254,0.2937723770356435,0.3376074658929427
case_26,26,theta,sigma_max_principal,0.95,3.9574745999999994,20018,380342,0.3354451868005454,0.3448164271979059,-0.00937124039736048,-0.05469888572981667,0.05469888572981667,0.29817097293762096,0.34437396611616283
case_26,26,weight_loss_rate,sigma_max_principal,0.95,3.9574745999999994,20018,380342,0.27266970011989206,0.27373758816801724,-0.0010678880481251873,-0.03394907340807135,0.03394907340807135,0.2622235,0.263535
case_27,27,rho_normalized,sigma_max_principal,0.95,8.1130173,20018,380342,0.4981968239817795,0.6218329235769274,-0.12363609959514793,-0.8705934432209185,0.8705934432209185,0.5058284677767707,0.6351469581021798
case_27,27,distance_to_outer_proxy,sigma_max_principal,0.95,8.1130173,20018,380342,46.752840682818906,35.2337050071866,11.519135675632306,0.8705934432209179,0.8705934432209179,46.04180288244777,33.99324068820016
case_27,27,rho,sigma_max_principal,0.95,8.1130173,20018,380342,176.5173918574684,188.0365275331007,-11.519135675632299,-0.8705934432209175,0.8705934432209175,177.2284296578395,189.27699185208712
case_27,27,distance_to_inner_proxy,sigma_max_principal,0.95,8.1130173,20018,380342,46.4168380222862,57.935973697918485,-11.519135675632285,-0.8705934432209164,0.8705934432209164,47.12787582265733,59.17643801690494
case_27,27,temperature,sigma_max_principal,0.95,8.1130173,20018,380342,397.1608273446398,384.5323764176846,12.628450926955225,0.8301007660883132,0.8301007660883132,394.191772,383.658447
case_27,27,fluence_rate,sigma_max_principal,0.95,8.1130173,20018,380342,3.6764353439404536,3.454590921804586,0.22184442213586753,0.6980431219252952,0.6980431219252952,3.657617,3.374786
case_27,27,weight_loss_rate,sigma_max_principal,0.95,8.1130173,20018,380342,0.5941398159656309,0.5832666240278486,0.010873191937782356,0.5980277006022096,0.5980277006022096,0.581227,0.580809
case_27,27,theta_cos,sigma_max_principal,0.95,8.1130173,20018,380342,0.9053564018184683,0.9335045961461336,-0.028148194327665244,-0.4265012323225638,0.4265012323225638,0.9039151361522617,0.9432368961161992
case_27,27,param_field_magnitude_scaled,sigma_max_principal,0.95,8.1130173,20018,380342,1.635097733564022,1.2585974883367825,0.37650024522723946,0.29956596191823465,0.29956596191823465,1.2335720632470866,0.8766135288799254
case_27,27,theta,sigma_max_principal,0.95,8.1130173,20018,380342,0.3891093867158364,0.3416625610792484,0.047446825636587975,0.26974692355288143,0.26974692355288143,0.4419598793679934,0.3385510070316062
case_27,27,z,sigma_max_principal,0.95,8.1130173,20018,380342,510.08025268977923,440.082406057393,69.99784663238626,0.24924649547356256,0.24924649547356256,544.422241,440.608459
case_27,27,theta_sin,sigma_max_principal,0.95,8.1130173,20018,380342,0.37120758862927106,0.33191364463612777,0.03929394399314329,0.24315835094133273,0.24315835094133273,0.4277118500051613,0.33212069764608
case_28,28,rho,sigma_max_principal,0.95,9.724851749999997,20018,380342,176.65848664273508,187.9676465300284,-11.309159887293305,-0.8561301808112272,0.8561301808112272,177.4910465189614,189.2087438847959
case_28,28,distance_to_inner_proxy,sigma_max_principal,0.95,9.724851749999997,20018,380342,46.55846134220108,57.867621229494354,-11.309159887293276,-0.8561301808112252,0.8561301808112252,47.3910212184274,59.10871858426188
case_28,28,rho_normalized,sigma_max_principal,0.95,9.724851749999997,20018,380342,0.5001990954172323,0.6216986334705985,-0.12149953805336622,-0.8561301808112244,0.8561301808112244,0.5091436714397998,0.635032316678397
case_28,28,distance_to_outer_proxy,sigma_max_principal,0.95,9.724851749999997,20018,380342,46.521397795419226,35.212237908125964,11.309159887293262,0.8561301808112239,0.8561301808112239,45.688837919192906,33.971140553358424
case_28,28,temperature,sigma_max_principal,0.95,9.724851749999997,20018,380342,398.97895737231494,387.61030598678303,11.368651385531905,0.7904676876987539,0.7904676876987539,396.549866,386.653625
case_28,28,fluence_rate,sigma_max_principal,0.95,9.724851749999997,20018,380342,3.652948383804576,3.4338541137318512,0.21909427007272475,0.6976849317407419,0.6976849317407419,3.640305,3.358908
