case_id,case_number,feature,bin,n,feature_min,feature_max,feature_mean,high_stress_threshold,high_stress_fraction,stress_p95,stress_max
case_157,157,z,8,33364,592.622131,665.359802,628.241750841236,7.2733848499999985,0.03162090876393718,6.5572493,16.23048
case_157,157,z,9,33363,665.359802,739.609131,702.3960247919852,7.2733848499999985,0.026436471540329107,6.079735599999999,15.346407
case_157,157,z,10,33363,739.609131,812.333008,776.5398241281059,7.2733848499999985,0.03677726823127417,6.700013899999999,18.048506
case_157,157,z,11,33364,812.333069,884.235901,850.352012223864,7.2733848499999985,0.20926747392398992,10.958340499999998,26.843325
case_158,158,rho_normalized,0,33364,0.0,0.36310113677260325,0.17189986376194366,9.03145045,0.01156935619230308,6.116249099999999,18.702044
case_158,158,rho_normalized,1,33363,0.36310178200550564,0.48223515674187567,0.4422430304948906,9.03145045,0.2326529388843929,16.523757299999993,33.084419
case_158,158,rho_normalized,2,33363,0.4822355787977941,0.5367521313156021,0.5116260051138918,9.03145045,0.06600125887959715,9.812356699999999,32.31538
case_158,158,rho_normalized,3,33363,0.536752548825547,0.5721962532644689,0.5552713607939745,9.03145045,0.18484548751611066,12.870815199999992,27.925695
case_158,158,rho_normalized,4,33364,0.5721970225427107,0.5993309308550897,0.5862192563160845,9.03145045,0.06015465771490229,9.4071026,26.179905
case_158,158,rho_normalized,5,33363,0.5993319945714365,0.6260564618039889,0.6124980510580953,9.03145045,0.030303030303030304,8.267861599999991,15.948332
case_158,158,rho_normalized,6,33363,0.6260570600385899,0.6594397103863144,0.6423099345337389,9.03145045,0.012738662590294637,7.358773099999999,15.288727
case_158,158,rho_normalized,7,33363,0.6594398508264429,0.6940253262957772,0.6762411277143768,9.03145045,0.0004795731798699158,7.2605333,9.456691
case_158,158,rho_normalized,8,33364,0.6940267280883641,0.7340216242361904,0.7134383384073891,9.03145045,2.997242536866083e-05,7.533993049999999,9.036717
case_158,158,rho_normalized,9,33363,0.7340225044783997,0.7855541994601352,0.7587335519611101,9.03145045,0.0003896532086443066,7.6680155999999995,10.395234
case_158,158,rho_normalized,10,33363,0.7855563735987737,0.849493351749503,0.8167175070523163,9.03145045,0.0,8.0942525,8.830033
case_158,158,rho_normalized,11,33364,0.8494951047954131,1.0,0.9049159337877656,9.03145045,0.0008392279103225033,8.50198475,9.229044
case_158,158,theta,0,33364,0.00752341557554906,0.16090929004043236,0.10261746919486577,9.03145045,0.07385205610838029,10.514447799999997,26.179905
case_158,158,theta,1,33363,0.16090962746858828,0.20408557333124944,0.18584380587711002,9.03145045,0.02047178011569703,8.1472207,17.797247
case_158,158,theta,2,33363,0.20408557374159456,0.23351866784393946,0.21823796838026535,9.03145045,0.10364775349938554,11.286745899999998,29.81341
case_158,158,theta,3,33363,0.23351872555387496,0.26408270947384177,0.2488107624303125,9.03145045,0.04522974552648143,8.861710599999999,21.753263
case_158,158,theta,4,33364,0.2640828505227417,0.29732966560114094,0.2809099998246532,9.03145045,0.009651120968708788,7.94499115,15.460731
case_158,158,theta,5,33363,0.29733126681961514,0.34008022775153735,0.31760609024447684,9.03145045,0.006174504690825165,8.0392396,13.974281
case_158,158,theta,6,33363,0.3400803524386168,0.3854309312108081,0.36436108556835073,9.03145045,0.006234451338308905,7.9136909,14.016704
case_158,158,theta,7,33363,0.38543334102806187,0.42293525025472833,0.4054819029728418,9.03145045,0.01588586158319096,8.0666894,16.976011
case_158,158,theta,8,33364,0.42293540106737637,0.4537645858407318,0.43867536273266006,9.03145045,0.07478120129480878,10.19966195,29.533064
case_158,158,theta,9,33363,0.45376538097308633,0.4810562640274132,0.46783871100622076,9.03145045,0.07619218895183287,10.2770041,28.552177
case_158,158,theta,10,33363,0.48105654424802524,0.5209218628162444,0.4988499919197821,9.03145045,0.026286604921619758,8.350724999999999,20.160849
case_158,158,theta,11,33364,0.5209241662380087,0.7734828219396659,0.5996006594854946,9.03145045,0.14158973744155376,16.1288195,33.084419
