case_id,reference_case_id,same_element_id_sequence,max_abs_dx,max_abs_dy,max_abs_dz
case_29,case_00,True,1.1819610000000011,0.9832070000000073,2.7280269999999973
case_31,case_00,True,0.6249699999999905,0.3427350000000047,0.9694819999999709
case_32,case_00,True,0.7195440000000133,0.4947209999999984,1.2399910000000318
case_33,case_00,True,0.5339050000000043,0.47846300000000497,1.3732909999999947
case_34,case_00,True,0.3458100000000002,0.2621770000000083,0.28555399999999986
case_35,case_00,True,0.19925000000000637,0.17490399999999795,0.6741339999999809
case_36,case_00,True,2.736617999999993,1.7031020000000012,5.98913600000003
case_37,case_00,True,1.2255700000000047,0.9612050000000067,3.5164179999999305
case_38,case_00,True,2.4857789999999795,1.443518999999995,5.471007999999983
case_39,case_00,True,0.5439910000000054,0.2992090000000047,0.38549799999998413
case_40,case_00,True,0.17059300000002509,0.15810300000000055,0.2912589999999682
case_41,case_00,True,0.44998200000000566,0.2951739999999887,0.38515200000000016
case_42,case_00,True,1.086106000000001,0.7036889999999971,2.0421760000000404
case_43,case_00,True,1.0082710000000077,0.6554639999999949,1.9885870000000523
case_44,case_00,True,0.14675900000000297,0.11888199999999927,0.22027600000001257
case_45,case_00,True,1.1314700000000073,0.7323449999999951,1.61883499999999
case_46,case_00,True,0.11706499999999664,0.10121099999999217,0.24169600000000013
case_47,case_00,True,0.15360999999998626,0.11590600000000961,0.21118200000000797
case_48,case_00,True,0.321425999999974,0.22612800000000277,0.25156
case_49,case_00,True,0.11048900000000117,0.07710299999999393,0.3195190000000139
case_50,case_00,True,0.7690890000000081,0.5176689999999979,1.2796630000000278
case_51,case_00,True,0.630630999999994,0.542892000000009,1.4880979999999226
case_52,case_00,True,0.2507630000000063,0.18108399999999847,0.3156129999999848
case_53,case_00,True,0.45700100000001953,0.2913819999999987,0.38070400000000015
case_54,case_00,True,0.2862089999999853,0.21664499999999975,0.46862799999996696
case_55,case_00,True,0.40695199999998977,0.2551200000000051,0.376891999999998
case_56,case_00,True,0.5220030000000122,0.33286200000000576,0.574463000000037
case_57,case_00,True,0.5682829999999797,0.37185700000000566,0.5496409999999998
case_58,case_00,True,0.5747680000000059,0.4840159999999969,1.6400149999999485
case_59,case_00,True,0.5405579999999759,0.3623890000000074,0.5040879999999999
case_60,case_00,True,0.2748719999999878,0.19953999999999894,0.3707890000000589
case_61,case_00,True,0.20913699999999835,0.14495800000000258,0.28942799999992985
case_62,case_00,True,0.519974000000019,0.4458620000000053,1.2628780000000006
case_63,case_00,True,1.1784059999999954,0.7596970000000027,1.8311770000000251
case_64,case_00,True,0.4243319999999926,0.38585700000000145,1.0649409999999762
case_65,case_00,True,0.714004999999986,0.3414760000000001,0.6577150000000529
case_66,case_00,True,1.931884999999994,1.2438879999999983,4.311585000000036
case_67,case_00,True,0.23950199999998745,0.18025300000000755,0.4127200000000357
case_68,case_00,True,1.3812719999999956,0.9034950000000066,2.373108000000002
case_69,case_00,True,0.18707300000002647,0.12271100000000068,0.1510419999999999
case_70,case_00,True,0.37114699999999345,0.34333100000000627,0.9362179999999398
case_71,case_00,True,0.24653599999999187,0.2323069999999916,0.34253000000001066
case_72,case_00,True,0.5683899999999937,0.4966969999999975,1.3383779999999206
case_73,case_00,True,1.8607330000000104,1.2025450000000006,4.035462000000052
case_74,case_00,True,0.506684000000007,0.3375859999999875,0.6278080000000728
case_75,case_00,True,0.26188600000000406,0.19770100000000923,0.27374299999996765
case_76,case_00,True,0.49437000000000353,0.441047999999995,1.1834709999999404
case_77,case_00,True,0.5186770000000251,0.4644310000000047,1.3587039999999888
case_78,case_00,True,0.5049600000000112,0.4370880000000028,1.331908999999996
case_79,case_00,True,0.14648399999998674,0.11446400000001233,0.19775400000003174
case_80,case_00,True,0.765197999999998,0.6732789999999937,1.8635859999999411
case_81,case_00,True,0.40683000000001357,0.2635879999999986,0.3704019999999999
case_82,case_00,True,0.16542100000000914,0.1246190000000098,0.3178100000000086
case_83,case_00,True,0.188445999999999,0.14895700000001,0.386841000000004
case_84,case_00,True,0.10049399999999764,0.07534799999999109,0.14972000000000207
case_85,case_00,True,0.13768000000001734,0.07669100000001094,0.16632100000003902
case_86,case_00,True,0.5347290000000271,0.4516830000000027,1.1520389999999452
case_87,case_00,True,1.3094790000000103,0.8377830000000017,1.8054809999999861
case_88,case_00,True,0.33767699999998513,0.23205600000000004,0.20106899999999994
case_89,case_00,True,0.3587190000000078,0.25285399999999925,0.5189209999999775
case_90,case_00,True,0.11938499999999408,0.08972200000000896,0.36077899999997953
case_91,case_00,True,0.44468700000001604,0.28493499999999017,0.31587500000000013
case_92,case_00,True,0.446044999999998,0.33910400000000607,1.3439329999999927
case_93,case_00,True,0.1053619999999853,0.09252899999999897,0.19164999999998145
case_94,case_00,True,0.4696050000000014,0.42855800000000954,1.0581669999999122
case_95,case_00,True,1.3511200000000088,0.8658439999999956,2.016845999999987
case_96,case_00,True,0.38842800000000466,0.33427400000000773,0.8376469999999472
case_97,case_00,True,0.13626100000001884,0.07144200000000467,0.12258000000000013
case_98,case_00,True,0.33883699999998385,0.20237799999999595,0.3305050000000165
case_99,case_00,True,0.8230440000000101,0.7085030000000074,2.070129999999949
