case_id,case_number,feature,bin,n,feature_min,feature_max,feature_mean,stress_mean,stress_median,stress_p95,stress_max
case_72,72,distance_to_inner_proxy,9,40036,77.7234448840203,92.66503932875628,83.19870204945343,2.562640817114597,2.7969720000000002,4.70726625,5.251298
case_72,72,distance_to_outer_proxy,0,40036,0.0,14.941594444735983,9.466337279302843,2.562640817114597,2.7969720000000002,4.70726625,5.251298
case_72,72,distance_to_outer_proxy,1,40036,14.941770403285119,21.68604911136427,18.42257866112437,2.537738025152363,2.712416,4.14338425,4.599899
case_72,72,distance_to_outer_proxy,2,40036,21.68651450819985,26.758813225029996,24.361773048937163,2.625403357353382,2.765278,3.7689347499999997,5.284093
case_72,72,distance_to_outer_proxy,3,40036,26.75892365962116,30.762835298720887,28.837653635464697,2.6977354875861725,2.820494,3.54643175,4.574864
case_72,72,distance_to_outer_proxy,4,40036,30.762837268835085,34.499683211535995,32.67323529768918,2.8498476345788792,2.951797,3.56522425,7.776824
case_72,72,distance_to_outer_proxy,5,40036,34.49968646444481,37.40704506543443,36.020867091922206,3.1240452330402637,3.033907,4.52807975,8.106859
case_72,72,distance_to_outer_proxy,6,40036,37.40710570730329,40.674634240297706,39.02019458130369,3.5197883937206513,3.333522,5.574299,13.473145
case_72,72,distance_to_outer_proxy,7,40036,40.67465652476824,45.6548143440661,42.99334390382711,3.3334989380057944,2.9234095,6.4578152499999995,14.54924
case_72,72,distance_to_outer_proxy,8,40036,45.65485443100377,54.49153043979413,49.31831805729112,3.199721020706364,2.680736,7.03855025,16.875072
case_72,72,distance_to_outer_proxy,9,40036,54.49153177992159,92.66503932875628,73.36526822698082,0.9469077867419323,-0.1100335,4.6978807499999995,16.446505
case_73,73,fluence_rate,0,40036,3.16637,4.564731,4.156797444599859,7.497285774977521,6.5930815,16.643349,22.045938
case_73,73,fluence_rate,1,40036,4.564731,4.643014,4.618785883005295,2.6680363348985914,2.5088265,5.1646842500000005,8.090467
case_73,73,fluence_rate,2,40036,4.643028,4.673188,4.6593514752722545,2.5297129245928667,2.6125355,4.49377225,9.724542
case_73,73,fluence_rate,3,40036,4.673188,4.701281,4.686607637126586,2.8540671202917376,2.904833,4.6322600000000005,10.13268
case_73,73,fluence_rate,4,40036,4.701281,4.727461,4.714537507543211,3.0150732292187032,2.9054510000000002,5.75314225,12.078135
case_73,73,fluence_rate,5,40036,4.727461,4.75696,4.741982698471375,3.0211929251923264,2.7421854999999997,6.094764,16.907051
case_73,73,fluence_rate,6,40036,4.756964,4.785422,4.771007747227495,3.1136860393645716,2.5605745,6.58395825,20.102741
case_73,73,fluence_rate,7,40036,4.785422,4.818615,4.801605242481767,2.8739694909081828,2.1848275,7.1765982500000005,21.117647
case_73,73,fluence_rate,8,40036,4.818616,4.870028,4.840394555899691,2.7073036778149664,1.9942735,7.7999849999999995,21.696907
case_73,73,fluence_rate,9,40036,4.870028,5.285125,4.990929747627135,0.95696258037766,0.13342500000000002,4.9311405,21.505623
case_73,73,temperature,0,40036,347.46463,368.242737,360.02331120281747,7.094082941877311,6.536186000000001,16.643349,22.045938
case_73,73,temperature,1,40036,368.242737,376.660858,372.9435811684485,3.147968148741133,3.4323675,5.7563165000000005,7.707682
case_73,73,temperature,2,40036,376.662048,380.773651,378.96912781366774,2.4478862267459287,2.6642915,3.8718045,5.885336
case_73,73,temperature,3,40036,380.773651,383.108643,382.0029332247977,2.502784809371565,2.5309135,4.21930125,9.98905
case_73,73,temperature,4,40036,383.108887,385.641907,384.32053123059245,2.759695499375562,2.5652295,5.0211635,10.426352
case_73,73,temperature,5,40036,385.641907,389.11203,387.2206664237187,2.8035559316365273,2.5935575,5.39733225,10.445312
case_73,73,temperature,6,40036,389.11261,394.215851,391.5056470727345,2.9113528111449694,2.5322785,6.1666425,16.813299
case_73,73,temperature,7,40036,394.215851,402.180176,397.86935398091714,3.00971303998901,2.5022415000000002,7.897952,16.907051
case_73,73,temperature,8,40036,402.182831,411.482086,407.29889685602956,3.376417735388151,2.5583575,10.12772625,21.696907
case_73,73,temperature,9,40036,411.482086,445.712524,429.7602170110901,1.1838329533669696,0.1018435,5.5814622499999995,21.040751
case_73,73,weight_loss_rate,0,40036,0.303593,0.477049,0.4273861895294236,7.3199417902387856,6.6055225,16.643349,22.045938
case_73,73,weight_loss_rate,1,40036,0.477049,0.489763,0.4845078114696773,2.880117640273754,2.6534905,5.6681740000000005,12.078135
case_73,73,weight_loss_rate,2,40036,0.489766,0.497269,0.4937355780797283,3.1021708932710563,2.946321,5.75250575,21.117647
case_73,73,weight_loss_rate,3,40036,0.497269,0.502807,0.5001571306823859,3.171254918123689,2.916009,7.03367075,21.696907
case_73,73,weight_loss_rate,4,40036,0.502807,0.507329,0.5051492847437307,3.079068776126486,2.7908795,6.648918500000001,21.461092
case_73,73,weight_loss_rate,5,40036,0.507329,0.511177,0.5092598100709362,2.8473642815715854,2.573963,5.6368047500000005,21.505623
case_73,73,weight_loss_rate,6,40036,0.511178,0.514774,0.5129994435008493,2.6836786577580174,2.4469415,5.517799,15.993973
case_73,73,weight_loss_rate,7,40036,0.514774,0.518813,0.5166573825556999,2.5866463089469476,2.4172260000000003,5.607999250000001,17.895695
case_73,73,weight_loss_rate,8,40036,0.518814,0.52587,0.5217499522429813,2.589271684658807,2.3400005000000004,5.8165295,15.769479
case_73,73,weight_loss_rate,9,40036,0.52587,0.669397,0.5770822945349187,0.9777751466679988,0.0965625,5.28676,10.874195
case_73,73,rho,0,40036,130.77663315582905,169.50778949066773,150.46686616313963,1.2933387951593567,0.101682,6.37023475,20.619808
case_73,73,rho,1,40036,169.50781125284257,178.3077911180285,174.62669246727424,3.2714332818713157,2.559614,9.186987,21.696907
case_73,73,rho,2,40036,178.30789474876485,183.25370270845306,180.95423024707483,2.9924519929063838,2.5125895,7.33376075,16.514166
case_73,73,rho,3,40036,183.25376109722743,186.5259401523036,184.92232085031532,3.2062538690928166,2.9109705000000003,7.02253825,16.907051
case_73,73,rho,4,40036,186.5261014375201,189.44908046519242,187.93106040214133,2.7659841740683384,2.5336914999999998,5.541025250000001,10.445312
case_73,73,rho,5,40036,189.44935678269357,193.18171991237006,191.28070138131488,2.5972377830952147,2.4658255000000002,4.57280675,9.899602
case_73,73,rho,6,40036,193.18174561031594,197.2360875096326,195.1236549518724,2.5498688618992906,2.6023945,3.6352217500000004,9.841356
case_73,73,rho,7,40036,197.23612059571724,202.24567947434005,199.59706828523284,2.5651282322659603,2.736103,4.1490915,5.9457
case_73,73,rho,8,40036,202.2457796048342,208.9903547846082,205.52512453052276,3.1056531753671694,3.2484349999999997,6.1670105,8.882988
case_73,73,rho,9,40036,208.9903695349174,224.42857490349772,214.46276563236978,6.88993993191128,6.328999,16.643349,22.045938
case_73,73,rho_normalized,0,40036,0.0,0.4135649043902802,0.21024906307189048,1.2933387951593567,0.101682,6.37023475,20.619808
case_73,73,rho_normalized,1,40036,0.41356513676319673,0.5075298715136641,0.46822370677153374,3.2714332818713157,2.559614,9.186987,21.696907
case_73,73,rho_normalized,2,40036,0.5075309780655886,0.5603415003825092,0.535788112396451,2.9924519929063838,2.5125895,7.33376075,16.514166
case_73,73,rho_normalized,3,40036,0.5603421238482194,0.5952819125382668,0.5781587299105216,3.2062538690928166,2.9109705000000003,7.02253825,16.907051
case_73,73,rho_normalized,4,40036,0.5952836347152286,0.6264947230613501,0.6102855550000921,2.7659841740683384,2.5336914999999998,5.541025250000001,10.445312
case_73,73,rho_normalized,5,40036,0.6264976735340898,0.6663512319336881,0.6460524693498091,2.5972377830952147,2.4658255000000002,4.57280675,9.899602
case_73,73,rho_normalized,6,40036,0.6663515063321191,0.7096431009713471,0.6870868942516636,2.5498688618992906,2.6023945,3.6352217500000004,9.841356
case_73,73,rho_normalized,7,40036,0.7096434542591062,0.7631346983821627,0.7348532646000044,2.5651282322659603,2.736103,4.1490915,5.9457
