candidate_id,model_family,feature_set,alpha,shrinkage,n_features,model_complexity,cv_selection_score,mean_oracle_loss_ratio,weighted_gain_mae,p90_absolute_gain_error,gain_saturation_fraction,fit_failure,outer_fold,selected_in_outer_fold
huber__physical_plus_tail_13__a0.001__s0.50,huber,physical_plus_tail_13,0.001,0.5,13,15,1.006083633943495,0.9937843710572513,0.06780013819430249,0.11038498133627239,0.0,,1,False
huber__physical_plus_tail_13__a0.001__s0.75,huber,physical_plus_tail_13,0.001,0.75,13,15,1.0020008412674795,0.9915839533283346,0.05770665450662058,0.09292444976965793,0.0,,1,False
huber__physical_plus_tail_13__a0.001__s1.00,huber,physical_plus_tail_13,0.001,1.0,13,15,1.0010845851200638,0.989993352284161,0.05649299522095297,0.10883866627615131,0.0,,1,False
huber__physical_plus_tail_13__a0.01__s0.50,huber,physical_plus_tail_13,0.01,0.5,13,15,1.005975806105692,0.9937589296470231,0.06763400330963387,0.10906952255411187,0.0,,1,False
huber__physical_plus_tail_13__a0.01__s0.75,huber,physical_plus_tail_13,0.01,0.75,13,15,1.0019475423443702,0.9915454213751393,0.05737767682477854,0.09328706573506074,0.0,,1,False
huber__physical_plus_tail_13__a0.01__s1.00,huber,physical_plus_tail_13,0.01,1.0,13,15,1.0010978529134855,0.9899434432687996,0.056026805152345774,0.11103458258902696,0.0,,1,False
huber__physical_plus_tail_13__a0.1__s0.50,huber,physical_plus_tail_13,0.1,0.5,13,15,1.005797111415281,0.993681127781962,0.06714888066722892,0.10802191133192435,0.0,,1,False
huber__physical_plus_tail_13__a0.1__s0.75,huber,physical_plus_tail_13,0.1,0.75,13,15,1.0017318010853544,0.9914252523552685,0.056394675026924704,0.09334162454786968,0.0,,1,False
huber__physical_plus_tail_13__a0.1__s1.00,huber,physical_plus_tail_13,0.1,1.0,13,15,1.000577046806761,0.9897791890689518,0.054673708460233686,0.10660973783571617,0.0,,1,False
constant_global_0_90,constant,none,0.0,0.0,0,0,1.0184639951734298,1.0,0.10713995173429763,0.15500000000000008,0.0,,2,False
ridge__physical_9__a0.1__s0.50,ridge,physical_9,0.1,0.5,9,10,1.0066817558026724,0.9938337745816288,0.07378171736779278,0.1093961896852835,0.0,,2,False
ridge__physical_9__a0.1__s0.75,ridge,physical_9,0.1,0.75,9,10,1.0031598529872405,0.9916375165672966,0.062271398975846944,0.10590393044718222,0.0,,2,False
ridge__physical_9__a0.1__s1.00,ridge,physical_9,0.1,1.0,9,10,1.002299815357406,0.9900463471870526,0.05966969767437694,0.1257299680583133,0.0,,2,False
ridge__physical_9__a1__s0.50,ridge,physical_9,1.0,0.5,9,10,1.0065053399226824,0.993829607798008,0.0744718201944393,0.10457100210460948,0.0,,2,False
ridge__physical_9__a1__s0.75,ridge,physical_9,1.0,0.75,9,10,1.0036976742359613,0.9916720930531443,0.06465622303982257,0.1111991775766972,0.0,,2,False
ridge__physical_9__a1__s1.00,ridge,physical_9,1.0,1.0,9,10,1.0028202290625439,0.9901398618409002,0.06336095603779618,0.12352408781946767,0.008403361344537815,,2,False
ridge__physical_9__a10__s0.50,ridge,physical_9,10.0,0.5,9,10,1.007231851742129,0.9940287989789418,0.07568909281342187,0.11268286963689762,0.0,,2,False
ridge__physical_9__a10__s0.75,ridge,physical_9,10.0,0.75,9,10,1.0039083423445416,0.9919040500384138,0.06620850065923276,0.10766884480408984,0.0,,2,False
ridge__physical_9__a10__s1.00,ridge,physical_9,10.0,1.0,9,10,1.0030211874257622,0.9903663061496151,0.06430276223179475,0.12449210105935034,0.0,,2,False
ridge__physical_9__a100__s0.50,ridge,physical_9,100.0,0.5,9,10,1.0101016561635254,0.9954321312367661,0.0823784455729649,0.12863360738925567,0.0,,2,False
ridge__physical_9__a100__s0.75,ridge,physical_9,100.0,0.75,9,10,1.0063280093029296,0.9935653134730722,0.07320244699233949,0.10884902261246726,0.0,,2,False
ridge__physical_9__a100__s1.00,ridge,physical_9,100.0,1.0,9,10,1.0036587218725683,0.9919921993835649,0.06579722827262707,0.10173599323481296,0.0,,2,False
huber__physical_9__a0.001__s0.50,huber,physical_9,0.001,0.5,9,11,1.0062374156867255,0.9937117272264792,0.07172612302258358,0.10706152315975977,0.0,,2,False
huber__physical_9__a0.001__s0.75,huber,physical_9,0.001,0.75,9,11,1.00213076843808,0.9914280897387244,0.05849762810617017,0.097058317774773,0.0,,2,False
huber__physical_9__a0.001__s1.00,huber,physical_9,0.001,1.0,9,11,1.000634847919141,0.9897242933365128,0.05241258451658936,0.11002457808156939,0.008403361344537815,,2,False
huber__physical_9__a0.01__s0.50,huber,physical_9,0.01,0.5,9,11,1.006236302819798,0.9937113365166881,0.07172422929879142,0.10705086746461552,0.0,,2,False
huber__physical_9__a0.01__s0.75,huber,physical_9,0.01,0.75,9,11,1.0021315106243107,0.9914276363001769,0.05849649221562879,0.09708450205141991,0.0,,2,False
huber__physical_9__a0.01__s1.00,huber,physical_9,0.01,1.0,9,11,1.0006338234476173,0.9897237585277078,0.0524128241340094,0.11001430559236021,0.008403361344537815,,2,False
huber__physical_9__a0.1__s0.50,huber,physical_9,0.1,0.5,9,11,1.0062268718290999,0.9937086978976457,0.07171279437115524,0.10693788988677214,0.0,,2,False
huber__physical_9__a0.1__s0.75,huber,physical_9,0.1,0.75,9,11,1.0021407786562688,0.9914244239306633,0.058488720387527345,0.09734965373705651,0.0,,2,False
huber__physical_9__a0.1__s1.00,huber,physical_9,0.1,1.0,9,11,1.0006265321190924,0.9897196974012449,0.05241194236062909,0.10995146509787682,0.008403361344537815,,2,True
