case_id,legacy_split,similarity_group,oracle_gain,minimum_grid_loss,selected_near_optimal_loss,global_gain_loss,oracle_loss_improvement_fraction,oracle_target_weight,near_optimal_gain_count,oracle_at_lower_bound,oracle_at_upper_bound,case_mean_correction_mpa,fluence_rate_mean,fluence_rate_p95,fluence_rate_std,tail_correction_abs_max_mpa,tail_correction_std_mpa,temperature_mean,temperature_p95,temperature_std,v10_case_scale,weight_loss_rate_mean,weight_loss_rate_p95,weight_loss_rate_std
case_145,validation,group_112,0.925,0.2681484325315323,0.26924794610900527,0.26974513781070275,0.001843190597364527,1.0073727623894582,8,False,False,-0.492869429370124,3.5594418048858643,4.413477897644043,0.3731063604354858,4.808352269646406,0.6422751670689456,381.24261474609375,404.8777770996094,11.596158981323242,3.0624743454674395,0.3853324055671692,0.4684740006923675,0.0410384945571422
case_146,train,group_093,0.95,0.27705149875094404,0.2780427358722227,0.27915623011962337,0.003988785229416146,1.0159551409176646,7,False,False,-0.4153035949458538,3.4820210933685303,4.408664226531982,0.395913153886795,5.074484775141818,0.6823804444513293,368.5951843261719,397.0680541992188,13.152121543884276,3.257574932340026,0.3772743344306946,0.4902760088443756,0.052681915462017
case_147,internal_test,group_113,1.025,0.2768532385200163,0.2779309455352976,0.2816368123474713,0.01315831826558783,1.0526332730623513,4,False,False,-0.41022997471321854,3.4660794734954834,4.404131889343262,0.4012894630432129,5.356280947778434,0.718074008060073,366.0380554199219,399.8873596191406,14.437088966369627,3.426656453911548,0.3587525188922882,0.4844110012054443,0.0557233579456806
case_148,train,group_114,1.0,0.32163488639160376,0.3229091240380815,0.32586984254202706,0.009085586075869357,1.0363423443034774,5,False,False,-0.4257264806246527,3.440417766571045,4.37044620513916,0.3981891274452209,4.995863364975359,0.6646715064663627,376.7049255371094,394.57952880859375,9.776519775390623,3.171989825609179,0.474497377872467,0.5505399703979492,0.046178251504898
case_15,train,group_010,1.025,0.3236648510276528,0.3248618037774907,0.32904717091571545,0.012719656961575369,1.0508786278463014,4,False,False,-0.5129258130259279,3.17668890953064,3.788631916046143,0.2720814049243927,3.879779730373699,0.5290412779516884,389.1473388671875,427.666748046875,18.477283477783203,2.5435656530382227,0.352100133895874,0.4952430129051208,0.0616110749542713
case_150,train,group_116,0.9,0.31217776224842614,0.31217776224842614,0.31217776224842614,0.0,1.0,10,False,False,-0.3073513282729202,3.989687919616699,4.625411033630371,0.305380642414093,5.70844041268024,0.7614634334428083,362.2044982910156,389.4493713378906,11.717700004577637,3.639640607411404,0.3479809463024139,0.4744180142879486,0.0542673878371715
case_151,train,group_117,0.9,0.27402806424618775,0.2750513187239171,0.2750513187239171,0.0,1.0,9,False,False,-0.40995079754284414,3.479653596878052,4.40528678894043,0.3960708975791931,4.456944458777224,0.597931227407684,362.6514892578125,386.9087829589844,9.897314071655272,2.8563536629763835,0.4124420881271362,0.5098109841346741,0.048792865127325
case_153,train,group_119,0.95,0.2869877635039353,0.2882332414088681,0.28948843655682827,0.004335907723601887,1.0173436308944075,7,False,False,-0.43588964841228905,3.4646592140197754,4.404366970062256,0.4014725983142853,5.523132075097575,0.732045311628092,367.4671630859375,402.8360900878906,14.68472957611084,3.4859602902498485,0.494371622800827,0.5650830268859863,0.0451486520469188
case_154,train,group_120,0.9,0.3134396706215851,0.3135385849299358,0.3135385849299358,0.0,1.0,10,False,False,-0.33777713620285377,3.8219070434570312,4.552929878234863,0.3305437862873077,5.254180695217162,0.7005619677485391,363.5869445800781,385.8201599121094,10.17988395690918,3.3478074663566337,0.3998811244964599,0.5015569925308228,0.0504109971225261
case_155,train,group_121,0.975,0.2883947748905571,0.2898227259670525,0.2917620916577632,0.006647079062572518,1.02658831625029,6,False,False,-0.42915224216223624,3.4562721252441406,4.397141933441162,0.4012274444103241,4.817089554544047,0.6469825749698636,372.7580871582031,398.3600158691406,12.300539016723633,3.08496935201708,0.3798628151416778,0.4871020019054413,0.0515094064176082
case_156,train,group_096,1.05,0.2984261256116538,0.2996232298868354,0.3054986831665639,0.019232335860921324,1.0769293434436853,3,False,False,-0.4516867316776867,3.3987786769866943,4.339728832244873,0.404140830039978,5.3810984225374074,0.7217155991598921,366.6425476074219,399.6999206542969,14.302489280700684,3.448787851799579,0.3444415628910064,0.4676519930362701,0.0525996312499046
case_157,train,group_122,1.0,0.29218783091458,0.29357662542498103,0.29653892457728015,0.009989579467592368,1.0399583178703695,5,False,False,-0.4141677905181962,3.424818277359009,4.35217809677124,0.3978156745433807,4.759148458179243,0.6414421777972152,373.52349853515625,394.5790100097656,10.145079612731934,3.069813803506341,0.3509520292282104,0.4775919914245605,0.0554457791149616
case_158,train,group_123,1.025,0.3080474452173728,0.3094478079114509,0.31359322487999236,0.013219089698535018,1.05287635879414,4,False,False,-0.48313573362411033,3.424365282058716,4.352934837341309,0.3979684710502624,5.98192237135635,0.7853542523070659,410.723388671875,425.5048828125,10.120108604431152,3.730282558032569,0.4178316593170166,0.5167170166969299,0.0497012622654438
